Date,ODA/GBR_LE_Value,ODA/GBR_LP_Value,ODA/GBR_PPPGDP_Value,ODA/GBR_BCA_NGDPD_Value,ODA/GBR_TX_RPCH_Value,ODA/GBR_TXG_RPCH_Value,ODA/GBR_TM_RPCH_Value,ODA/GBR_TMG_RPCH_Value,ODA/GBR_GGXWDG_NGDP_Value,ODA/GBR_GGXWDN_NGDP_Value,ODA/GBR_GGXCNL_NGDP_Value,ODA/GBR_GGXONLB_NGDP_Value,ODA/GBR_GGR_NGDP_Value,ODA/GBR_GGSB_NPGDP_Value,ODA/GBR_GGX_NGDP_Value,ODA/GBR_NGSD_NGDP_Value,ODA/GBR_PPPEX_Value,ODA/GBR_PCPIPCH_Value,ODA/GBR_PCPIEPCH_Value,ODA/GBR_PCPI_Value,ODA/GBR_PCPIE_Value,ODA/GBR_NGAP_NPGDP_Value,ODA/GBR_PPPSH_Value,ODA/GBR_NID_NGDP_Value,ODA/GBR_LUR_Value
1991-12-31,-0.026348107625321002,0.0035291856666142,0.019930638711281003,-0.5954242687518101,-0.97024022947293,-0.8287213740458002,-8.404399323181,-101.62264150943001,-0.0009315463669691301,-0.035789614650641,0.9520725388600999,-4.9739583333333,-0.0064567556795535,-0.11884603323926,0.031292273922254,-0.054756603887117,0.032357473035439004,0.08030976624121601,-0.089563762707502,0.07532147704535001,0.070748299319728,-1.5637007077856002,-0.034462091699131,-0.14776803507373001,0.24647887323943998
1992-12-31,-0.023812253946413,0.0025418269816675,0.036039797843084,0.18181818181818002,26.289156626506,1.2878365831012,-2.5495886654479,-2.2325145321582998,0.15884139922399,0.05197916666666699,1.0736562707366,2.0996068152031,-0.033376123234917,0.57900355871886,0.049226580868704004,-0.064676300210071,0.0059701492537313,-0.43422275321917,-0.62289752650177,0.042615484710475,0.026683608640407003,1.6089686098655,-0.089075108628181,-0.044545773412838004,0.12429378531073
1993-12-31,-0.0092795614722004,0.0022401667100807,0.059525209482126,-0.14173228346457,0.004635761589404001,0.54017857142857,-0.51024922577791,-0.42811501597443996,0.14117005813952999,0.16229329636598,0.22351999999999997,0.27463002114165,-0.04119632580788,0.1920216362407,-0.0021701184129829,-0.012114612400463002,-0.0044510385756677,-0.41177850774284,-0.11881559220389999,0.025060842433697005,0.023514851485149,0.10106565830182002,0.013628620102215,-0.025208027410671,0.042713567839196
1994-12-31,0.0079832430937042,0.0025643691305403,0.07187195408654401,-0.6669019054340201,1.0279059547351999,1.6160737812911998,0.7871123155676,0.17132216014898002,0.064184502012873,0.15615948202419,-0.14777036746437,-0.23635760490960003,0.018410041841003998,-0.084704102854982,-0.011630655760956997,0.1139510850844,-0.010432190760059998,-0.21100917431192998,-0.22841344108890002,0.019784982893599,0.018137847642080002,-0.41086481423665,0.018151260504202,0.044438865177002,-0.08433734939759
1995-12-31,0.012311311507548,0.0028170474577442,0.056925783643804,0.45974576271186,0.023512839960992998,-0.0075543916196617,-0.066048862679023,0.40040881217352003,0.062215477996964995,0.09982069609215699,-0.14408470154979003,-0.28040834057340996,0.013373756835633003,-0.09316256971700099,-0.011169576656302,0.019543571030985002,0.0030120481927711,0.3427704752275,0.6367144432194001,0.026564626662528,0.029691211401425,-0.21091679915209,-0.0016507098052162,0.032091346153846,-0.09210526315789501
1996-12-31,0.0093342112397846,0.0023955191727704,0.05380188210398099,-0.19593613933237,-0.21797586279907,-0.22429716837511,0.72614107883817,0.53827440804411,0.0055130784708248,0.079527435960426,-0.28863391896737,-0.48505885904014,-0.011939046553893,-0.31093394077449,-0.049270735070024003,-0.0028510767364271,0.010510510510511,-0.065888554216868,-0.18423711687436997,0.024818859542002,0.024221453287197003,-0.18401611820013,-0.0033068783068784,-0.010597414696634,-0.060869565217391
1997-12-31,0.017881811204911998,0.0025789147926552,0.061370324731194005,-0.7942238267148,0.032218762691214,0.08674604213005399,0.04818143812709,0.03384290985767,-0.025193100412214002,-0.081074930696347,-0.4765625,-1.2221570926143002,0.011913520855736,-0.48727272727272997,-0.037398870401464994,0.051222776493491,0.0,-0.28335348649738,-0.2559867877787,0.017771826094851003,0.018018018018018004,-0.54650205761317,0.0013271400132714,0.023658192090395,-0.14197530864198002
1998-12-31,0.010140993741989,0.0027609150461296,0.046908481956224005,2.4824561403509,-0.5714098360655699,-0.82940043342162,-0.074384285571842,-0.13002243524373,-0.060864210202197,-0.061775366397262,-0.9412614347616801,4.9208443271768,0.027181968175843996,-0.97743391360413,-0.025980547626598998,0.046990740740741,0.0089153046062407,-0.10629921259842999,-0.20199778024417,0.015889298975280002,0.014380530973451,-1.0816696914701,0.010934393638171,0.06289525123605799,-0.10071942446043
1999-12-31,0.013920507557379998,0.0035741769987173,0.045137539314604,5.7229219143577,-0.057833537331701,0.8285109386026801,-0.19142518582355,-0.29375219786659995,-0.05914754098360701,-0.05624475104979,-8.2704918032787,0.26024955436720004,0.0086030873104461,-17.828571428571,-0.018777304425691,-0.13431350873314002,0.0058910162002946,-0.15984896161107998,-0.16550764951320998,0.013357773192254998,0.011995637949836,11.933333333333001,-0.0058997050147493,-0.0084919948074427,-0.044000000000000004
2000-12-31,0.011631330977620999,0.0034421648149411,0.067367607480907,0.074934432371675,2.0522897044495,3.3419529139327997,0.2699173994138,0.6079668049792499,-0.059311402286032995,-0.13851669166815,2.9966178128523,0.8925035360678901,0.01357734769347,3.6383701188454998,-0.059622244960040004,-0.039841654961052,-0.014641288433382,-0.41198501872659005,-0.28166666666667,0.0078526942864879,0.0086206896551724,1.5309278350514999,-0.0042861852950873,-0.02307566417544,-0.087866108786611
