Date,ODA/URY_LE_Value,ODA/URY_LP_Value,ODA/URY_BCA_NGDPD_Value,ODA/URY_TX_RPCH_Value,ODA/URY_TXG_RPCH_Value,ODA/URY_TM_RPCH_Value,ODA/URY_TMG_RPCH_Value,ODA/URY_GGXWDG_NGDP_Value,ODA/URY_GGXWDN_NGDP_Value,ODA/URY_GGXCNL_NGDP_Value,ODA/URY_GGXONLB_NGDP_Value,ODA/URY_GGR_NGDP_Value,ODA/URY_GGSB_NPGDP_Value,ODA/URY_GGX_NGDP_Value,ODA/URY_NGSD_NGDP_Value,ODA/URY_PPPEX_Value,ODA/URY_PCPIPCH_Value,ODA/URY_PCPIEPCH_Value,ODA/URY_PCPI_Value,ODA/URY_PCPIE_Value,ODA/URY_PPPSH_Value,ODA/URY_NID_NGDP_Value,ODA/URY_LUR_Value
1991-12-31,,0.0058177117000647,-0.8106018774157902,-0.7925153955471299,-1.5985526799951002,15.647424511545,1.2569056819808,,,,,,,,0.09168675635741501,0.94214876033058,-0.093791657039262,-0.36838717682273997,1.0197305101059,0.81451339437097,0.013333333333333,0.23241725768322,0.047058823529412
1992-12-31,,0.0061053984575834,-3.3702623906705997,2.7496194824962004,-2.4842213114754,0.3457455321419,0.6931955101782,,,,,,,,-0.065607636415444,0.5608510638297901,-0.32867846075393,-0.27671303515083,0.6842983083154599,0.58923565688656,-0.026315789473683997,0.019122407385206,0.011235955056179999
1993-12-31,,0.0057489619929736,0.8093480934809401,-0.15760097422367,-0.99585806986056,-0.25307222706731,-0.6571910112359499,,,,,,,,-0.032476938324312,0.44383860414395004,-0.20998889797826,-0.10234081920185,0.54095345876362,0.52880997177799,0.0,0.017822481030527,-0.077777777777778
1994-12-31,,0.0095268339155287,0.54384772263766,0.75292133477894,304.2,-0.10577433393483,1.2286681962198,,,,,,,,-0.046568434323536,0.36064954682779,-0.17279636101403,-0.16623803940849,0.44735151014413,0.44088916237213,0.040540540540541,0.013233934350438998,0.10843373493975998
1995-12-31,,0.0062912865681032,-0.5609863496257199,-1.0620575905436,-0.37822193097421997,-1.0229093714761,-1.0666209127898,,,,,,,,0.07057851239669401,0.38162642242576,-0.055615164520744,-0.19613980177360002,0.422428009641,0.35440132386696993,-0.051948051948052,-0.031312382364684,0.1195652173913
1996-12-31,,0.0062519537355424,0.033099297893681,-12.165005537098999,1.2740207272089,-30.445595854922,-11.604856512141,,,,,,,,-0.01428130307241,0.24166331860185,-0.32915167581897,-0.31360212171656,0.28342102916258005,0.2432997004572,0.013698630136986,-0.0087729627885069,0.15533980582523998
1997-12-31,,0.011494252873563,0.16407766990291,0.28198770085301,0.022786961223543997,0.18089037480204,-0.16423813488759,,,,,,,,0.087399169864516,0.17278757482607998,-0.30071977983205,-0.37647977638935,0.19821416162879998,0.15168806466952,0.013513513513513998,0.00059400059400048,-0.028739495798319
1998-12-31,,0.0055282555282556,0.56130108423686,-0.8131528046421701,-0.8373234649950899,-0.29764565638504,-0.75691158156912,,,,,,,,0.037090385307886,0.11422265140019,-0.45461425904434993,-0.4320653965324,0.10806970742599001,0.086154693091109,0.013333333333333,0.029266844761057002,-0.12398338812942998
1999-12-31,,0.0045815516188149,-0.4332264957265,-4.0385093167702,-4.4066852367688,-1.3753049750716,-2.2083333333332997,,,,,,,,-0.026805555555556002,0.038504395196235996,-0.47626977518734,-0.51468369123622,0.056628460773539,0.041814495691839995,-0.052631578947367995,-0.13052255162072002,0.10617283950617
2000-12-31,,0.0036485253876558,1.3374175306315,-1.8870264377215,-1.8870264377215,-0.89231204070096,-0.89231204070096,,,0.051637279596977004,-0.20893470790378,-0.026029467321496,,-0.017675830662844,-0.14535464535465,0.010729613733906001,-0.15898251192369,0.20425735469983,0.04760017831492401,0.050352712235466,-0.069444444444444,-0.040995024875622,0.19642857142857
2001-12-31,,0.0021205695243865,-0.040322580645161,-2.5351052389,-2.1966507912121997,25.062992125984,26.296587926508998,,,0.023652694610778,-0.21112076455256001,0.048330165625849006,-0.3120797011208,0.045499811132859995,-0.0024213075060533,0.020877565463553002,-0.08296576349506402,-0.28699106256207,0.043664302600473,0.035896248263085,-0.059701492537312995,-0.0089230130732518,0.13373134328358
