Date,ODA/FRA_LE_Value,ODA/FRA_LP_Value,ODA/FRA_PPPGDP_Value,ODA/FRA_BCA_NGDPD_Value,ODA/FRA_TX_RPCH_Value,ODA/FRA_TXG_RPCH_Value,ODA/FRA_TM_RPCH_Value,ODA/FRA_TMG_RPCH_Value,ODA/FRA_GGXWDG_NGDP_Value,ODA/FRA_GGXWDN_NGDP_Value,ODA/FRA_GGXCNL_NGDP_Value,ODA/FRA_GGXONLB_NGDP_Value,ODA/FRA_GGR_NGDP_Value,ODA/FRA_GGSB_NPGDP_Value,ODA/FRA_GGX_NGDP_Value,ODA/FRA_NGSD_NGDP_Value,ODA/FRA_PPPEX_Value,ODA/FRA_PCPIPCH_Value,ODA/FRA_PCPIEPCH_Value,ODA/FRA_PCPI_Value,ODA/FRA_PCPIE_Value,ODA/FRA_NGAP_NPGDP_Value,ODA/FRA_PPPSH_Value,ODA/FRA_NID_NGDP_Value,ODA/FRA_LUR_Value
1991-12-31,-0.00235807860262,0.0046662071159659,0.044021736687626996,-0.37435233160622,0.50481695568401,0.06904315196998101,-0.4126637554585201,-0.38449045879009003,0.021982181331159003,0.09923912601212499,0.17693588676103,0.9066265060241,0.014720210107172,0.0040953090096799,0.022593973596694,-0.022022873177161,-0.0073529411764706,9.493827160493801,-0.046388542963885004,0.034003723902967006,0.030624141772677,-1.1395348837209,-0.011447650846649,-0.033219445930927,0.024
1992-12-31,-0.001313140155826,0.0047500923629070005,0.039158755785168,-1.5631469979296002,-0.058098591549295996,-0.13039663039663,-0.40689422102062,-0.5936675461741401,0.10290305119511998,0.10434557299378,0.61124867350548,2.4660347551342996,-0.009204951053038,0.56729699666296,0.025366603595081,-0.038429770029996,-0.0031746031746032,-0.27705882352940997,-0.37381651975188,0.024584301805829,0.019180974886246004,1.6145833333333,-0.086610373944511,-0.069786255641659,0.10854166666666999
1993-12-31,-0.0056977559607293,0.004517518516573,0.017517460701509998,1.5367647058823999,-0.93423959218352,-0.8829465186680099,-2.8951566951567,-4.3181818181818,0.15930049337432,0.14915367856544,0.38287596048299,0.69553327256153,0.017843599898878997,0.092737165838656,0.049804893989197,-0.09005832090058301,-0.0074309978768576,-0.09113100081367,0.079249217935349,0.022336619841201,0.020694588328153,8.8924302788845,-0.026413100898044998,-0.11031262873621,0.11351249765082
1994-12-31,-0.0034382438508331,0.0034164792832366,0.045237191712662994,-0.15652173913043,19.894056847545,15.913793103448,-3.6737823211064,-3.6604696673189996,0.07056595365418901,0.16782849642701,-0.1476424829338,-0.29032258064516,0.0067473869398738,-0.11495994804069999,-0.011059435309628001,0.03284145674964,-0.011764705882353,-0.25604297224709,-0.31111111111111,0.016630292980895002,0.014257751141828,-0.28352799033427006,-0.0070537167661421,0.039563718680866,0.035864978902954
1995-12-31,0.0090233545647559,0.0032658733605490002,0.042141101402756,-0.21821305841924002,0.077170418006431,-0.019673802242610002,-0.15360395816935002,-0.26250459727841,0.12885299810602,0.15687204975149,-0.045632333767927,-0.13030303030303,0.0086141321107708,0.017123287671232997,0.0032216256248843,0.0032711179526651,-0.0086580086580087,0.06438026474127599,0.48737727910238,0.017689457083577997,0.021205117819447,-0.24508150646430998,-0.015573770491803002,0.0096505988320301,-0.025824847250508997
1996-12-31,0.010433105383132,0.003168666562776,0.032384021052081005,1.6351648351648,-0.52686567164179,-0.68690859935531,-0.6806164474558299,-0.9178406682458499,0.069526899959438,0.06509067357512999,-0.23887587822014,-0.61236933797909,0.026579698328577005,-0.34583934583935,0.0014579949800679,-0.0066647487533565,-0.0043668122270742,0.18711136235161,-0.20792079207921,0.020988003488179998,0.016798488136068,0.24422933730454002,-0.023591451568137998,-0.043282192049408995,0.036962702793109
1997-12-31,-0.0069848156182213,0.0031068765534383,0.040894947185024,1.1567973311093,2.1290948798835,3.3556957821322,2.3082362728784998,10.748103186645999,0.022858521953490005,0.022580318232492,-0.07025641025641001,-0.34044943820225,-0.0014693034707329998,-0.0022058823529413,-0.0063763522105301,0.058695757107689,-0.0087719298245614,-0.38952380952381,-0.31011904761905,0.012823324368933001,0.011587618457584999,-0.27528426092159997,-0.017907902217168998,-0.0087099088021315,-0.0040322580645162
1998-12-31,0.010485385993272,0.0031488746644642,0.046798898309271,-0.01430781129157,-0.33516867002714,-0.33061380099123,0.49591349176411,0.5687160940325501,0.00082581949945225,0.0062835735098813,-0.33618312189741,-1.8637137989778998,-0.0070192881288527,-0.14369933677229,-0.029174471873435002,0.05430173710846701,-0.0011061946902655,-0.47815912636505,-0.76531492666091,0.0066894586894587,0.002721952547294,-1.2229562345168998,0.010709117221418003,0.063469092412653,-0.024291497975707996
1999-12-31,0.011371006096243,0.0033962846704059997,0.049896424329947994,0.19850921930169002,-0.41794004432521,-0.46474541519534995,-0.41556694965117,-0.40823384108687,-0.014616731779603999,-0.0055548989481148,-0.34441213128375997,1.1794871794872,0.010833650399503,-0.055938037865749,-0.0054829588873605,0.051288704376405,-0.013289036544851002,-0.15545590433483,4.0735294117647,0.0056488221243646,0.013799031805637,4.4444444444444,-0.0011454753722795,0.032999611197512,-0.060829875518672
2000-12-31,0.025436046511628,0.0061712566456399,0.062386059795819,-0.53944353518822,1.5476953907816002,1.6878059161523997,1.2088307205523001,1.3285098093780001,-0.026044158862532998,-0.012598050867601998,-0.16476552598226002,0.1393665158371,-0.013233487856096002,0.34412032816772997,-0.017845822848032,-0.021225832990538998,-0.0067340067340067,2.2353982300885002,0.28550724637681,0.018280877121887,0.017739200285612,1.0687074829932,-0.0094610091743119,0.053211009174312006,-0.15834585137404
