Date,ODA/BRA_LE_Value,ODA/BRA_LP_Value,ODA/BRA_PPPGDP_Value,ODA/BRA_BCA_NGDPD_Value,ODA/BRA_TX_RPCH_Value,ODA/BRA_TXG_RPCH_Value,ODA/BRA_TM_RPCH_Value,ODA/BRA_TMG_RPCH_Value,ODA/BRA_GGXWDG_NGDP_Value,ODA/BRA_GGXWDN_NGDP_Value,ODA/BRA_GGXCNL_NGDP_Value,ODA/BRA_GGXONLB_NGDP_Value,ODA/BRA_GGR_NGDP_Value,ODA/BRA_GGSB_NPGDP_Value,ODA/BRA_GGX_NGDP_Value,ODA/BRA_NGSD_NGDP_Value,ODA/BRA_PPPEX_Value,ODA/BRA_PCPIPCH_Value,ODA/BRA_PCPIEPCH_Value,ODA/BRA_PCPI_Value,ODA/BRA_PCPIE_Value,ODA/BRA_PPPSH_Value,ODA/BRA_NID_NGDP_Value,ODA/BRA_LUR_Value
1991-12-31,,0.017060841922875,0.043942481884058,-0.57616707616708,-1.0242572242572,-1.4498634412798,-0.9505269950526999,0.16554261189454,,,,,,,,0.0037722199255891,,-0.8380494434197401,-0.6531494183098199,4.7738685446082005,5.6223323762445,-0.011742217367558998,-0.022724795640327002,0.1285046728972
1992-12-31,,0.016452707687767,0.018021890908302,-5.5594202898551,39.248322147651,3.1199768719282996,-9.695652173913,-1.2324039978958001,,,,,,,,0.055752895752896,,1.1417654858636999,0.9904416852087999,10.224512907817001,11.190924622967,-0.10500138159713,-0.040651313221435,0.2008281573499
1993-12-31,,0.016094017037618997,0.07155136761747599,-1.0858232676414001,-0.4098716024679,-0.12111430776788,-7.80225,-14.386600271616,,,,,,,,0.0098985761653988,12.0,0.88505952852508,1.2135338292114999,19.273808363449,24.771480315791003,0.025316455696203,0.099511741455475,-0.06379310344827599
1994-12-31,,0.015878066837245,0.075762519602482,1.2814814814814999,0.47061316756146,-0.387624750499,-0.14418023448123998,-0.016942274525718,,,,,,,,0.054367244459465995,21.538461538462,0.07701954102484199,-0.6300451163999901,20.75826907121,9.164328636176801,0.021680216802168,0.17075491647283,-0.14530386740331
1995-12-31,,0.015623501735589,0.06594599499574,6.7532467532468,-1.1952156787396,-1.2649282920469,0.31774456755132,0.055555555555556,,,,,,,,-0.28305170124101003,0.89761092150171,-0.96820158905342,-0.97554758503895,0.66008039589218,0.22408880161163003,0.0070733863837312,-0.18599295583852998,0.001939237233355
1996-12-31,,0.015408339889851,0.040141123724456,0.17169179229481,-2.2977362204724,-2.2977362204724,-0.79885937754603,-0.79885937754603,,,,,,,,-0.09031681144609101,0.15107913669064998,-0.76128651072597,-0.5732071935383101,0.15757436096725,0.09563805563282801,-0.01609599063506,-0.05475120652354799,0.16838709677419
1997-12-31,,0.015230314338315001,0.05144892391633799,0.24874910650465,2.8577929465301,2.8577929465301,1.9534996759559,1.9534996759559,,,0.049122807017544005,,0.0038410755011403,,0.010170629081804,-0.021766605813790002,0.0578125,-0.56044932410992,-0.45368046842325,0.069257588788874,0.052247318164486994,-0.0080309339678763,0.022652582159624002,0.04619915332229001
1998-12-31,,0.015093417999756002,0.011208713275463997,0.13308528906696998,-0.65801631770373,-0.65801631770373,-0.90180481650118,-0.90180481650118,,,0.30100334448161,,0.030521344015306002,,0.069787647254235,-0.061871949468849004,0.031019202363367998,-0.5385503898354,-0.6830622009569399,0.031962278693469,0.0165564416702,-0.023688155922038996,-0.022839435326524,0.33655876143561
1999-12-31,,0.015049443014219,0.017901790677983,0.090174286435969,1.2089680942799998,1.2089680942799998,-9.3608938547486,-9.3608938547486,,,-0.28494114463537,,0.019580541293186,,-0.034182113510415,-0.077276205049732,0.068767908309456,0.520337922403,4.3985507246377,0.04858502808333401,0.08939934506012101,-0.031633906633907,-0.038231148696265,0.00039489272081073997
2000-12-31,,0.027815636962680003,0.06678798818900701,-0.12951807228916,0.44216005204944997,0.44216005204944997,-1.8781905652813,-1.8781905652813,,,-0.36140018921475997,,-0.098668487538409,,-0.13301016496426,0.20174129353234,0.037533512064342994,0.44968100432187996,-0.33176733780761,0.07043924147594299,0.059743393932569,-0.0050745321915636,0.11436771081395,-0.065789473684211
