Date,ODA/NPL_LE_Value,ODA/NPL_LP_Value,ODA/NPL_PPPGDP_Value,ODA/NPL_BCA_NGDPD_Value,ODA/NPL_GGXWDG_NGDP_Value,ODA/NPL_GGXWDN_NGDP_Value,ODA/NPL_GGXCNL_NGDP_Value,ODA/NPL_GGXONLB_NGDP_Value,ODA/NPL_GGR_NGDP_Value,ODA/NPL_GGX_NGDP_Value,ODA/NPL_NGSD_NGDP_Value,ODA/NPL_PPPEX_Value,ODA/NPL_PCPIPCH_Value,ODA/NPL_PCPIEPCH_Value,ODA/NPL_PCPI_Value,ODA/NPL_PCPIE_Value,ODA/NPL_PPPSH_Value,ODA/NPL_NID_NGDP_Value
1991-12-31,,0.025288498702446,0.099061522419187,0.019467620182757002,,,,,,,0.1966141647916,0.08914226483545,-0.11012771678243,1.7218126236287998,0.079420798595875,0.15137614678899,0.037037037037037,0.11738924425491999
1992-12-31,,0.025957240562227,0.06483238456673,-0.25084437516238,,,,,,,0.21060171919771,0.15845824411135,1.6515170590456998,0.27510570824524,0.21062717770035003,0.19297307414637,-0.053571428571429,0.022262270751617002
1993-12-31,,0.026297832134795997,0.06314226314226301,-0.09051499913299801,,,,,,,0.16715976331361,0.082049702197577,-0.5787949290157199,-0.6963212435233199,0.088693816856142,0.058633674018289,0.018867924528301997,0.090169034532822
1994-12-31,,0.026237725040917006,0.10526315789474001,0.12202097235461999,,,,,,,-0.050443599493029005,0.026288317357882004,0.0090181490249126,0.549564920662,0.08950916461050401,0.09080707994579902,0.037037037037037,-0.0074197384066587
1995-12-31,,0.026015449788187997,0.05626326963906599,-0.6392523364486,,,,,,,0.42491991457554995,0.041335306084705,-0.14233046586974,-0.042391543712839,0.076756647457284,0.08697424351235401,0.0,0.12477837941444
1996-12-31,,0.025647253120901003,0.072601100741804,1.3546867640131999,,,,,,,-0.047210903470563,0.058786963857562005,-0.064869089488081,-0.31091180866966,0.07179207902199,0.05992643119888599,0.017857142857143002,0.07962339709453399
1997-12-31,,0.025195358749703998,0.070587185436373,-0.85757151430286,,,,,,,0.12535024332694,0.052587436047975,0.12843014347402001,-0.053395628232937996,0.081017626239619,0.056723609286027,0.017543859649123,-0.068542340778155
1998-12-31,,0.024391370628724998,0.040635158789697,0.3188202247191,,,,,,,-0.030314943432490003,0.030677290836653003,0.027774348845821,1.1172219284329,0.083260397419689,0.12011159824631,0.0,-0.019783944079643997
1999-12-31,,0.023224351747462995,0.06079538627898599,-5.2981895633653,,,,,,,0.041263119960358,0.07174333204484,0.36668268075907,-0.24927150112397,0.11378768609262,0.09018061742979501,0.0,-0.1753824876826
2000-12-31,,0.021771705597179,0.08532487635443801,0.58077304261645,,,,,,,0.16664503569111,0.022289547716944,-0.70181914052201,-0.9339026283686399,0.033933369156367,0.0059533912135257,0.017241379310345,0.18705450733752998
2001-12-31,,0.020315734989647997,0.08035621108289599,0.1987460815047,0.00031093990222656,0.00031093990222656,0.57741559953434,1.1434782608696001,0.06008281208704099,0.12817569635751,-0.11143249156375999,0.0031752751905165,-0.28234600648394,4.716442953020099,0.024348413585220004,0.03408132276025,0.033898305084746,-0.14654068612301002
2002-12-31,,0.018938913548932998,0.01655021412242,-0.49254707112971,0.020653806966343002,0.020653806966343002,0.042066420664207,-0.06997971602434101,-0.0019945150835202,0.0061045920097673,-0.0012102495618062,0.023633677991137,0.18932238193018,0.030231875550337,0.028957382039573997,0.03509168266877501,-0.032786885245901995,0.037299534402483
2003-12-31,,0.017549682612123002,0.060181812422792996,-0.37541870651894005,0.020794206723855,0.020794206723855,-0.86083569405099,-1.4171210468920001,0.10367224581564,-0.080024270208319,0.010529394559812999,0.010513296227581998,0.63777624309392,0.73504273504274,0.04742181625433,0.060904780958617004,0.0,0.085282529549648
2004-12-31,,0.016146130636875002,0.07561769890352901,0.11427392739274,-0.031989657229994,-0.031989657229994,-0.56997455470738,-0.030065359477124,0.0030934057642976,-0.013410523230251001,0.12230721521604,0.013803889568883999,-0.16445287792535998,-0.6679802955665,0.039637519124397,0.020218067111639,0.0,0.12320205872892
2005-12-31,,0.014846320520023,0.068079551136048,-0.26027397260274,-0.11088661347214,-0.11088661347214,-2.5917159763314,0.44878706199461,0.054757427604363,0.021614796107851,0.059057583907453,0.028103829901402002,0.14534443603331,2.2888229475767004,0.045382508093912005,0.066498627681622,-0.016949152542373,0.09438671139841301
2006-12-31,,0.013522062312193998,0.065404519803396,0.065065065065065,-0.04581519855178501,-0.04581519855178501,-0.029739776951673,-0.12837209302326,-0.072309776795265,-0.073142358586593,-0.0053224796493425,0.041623173277662004,0.7543511786737199,0.24406015037594,0.07962359361971699,0.08273022342202299,-0.017241379310345,-0.010617219335302
2007-12-31,,0.01232737770149,0.06163347002538599,-1.062969924812,-0.13647647688054,-0.13647647688054,-3.9808429118774,-1.0800426894344,0.09016834499192901,0.17351741449639,0.051970762074634004,0.048102217211574996,-0.22102222780359,-0.42801885652121,0.062026078234704005,0.04731414379541501,-0.017543859649123,0.14162100887964998
2008-12-31,,0.011522157996146,0.081875244292185,-21.447761194029997,-0.035947177749210996,-0.035947177749210996,-0.47172236503856,-4.6933333333333,0.053589056550557,0.026336898395722,0.020047209016257,0.035914903788694,0.07802676124455901,1.2601437024514,0.066875070832232,0.10695296144654,0.035714285714286004,-0.075166319134148
