Date,ODA/PRT_LE_Value,ODA/PRT_LP_Value,ODA/PRT_PPPGDP_Value,ODA/PRT_BCA_NGDPD_Value,ODA/PRT_TX_RPCH_Value,ODA/PRT_TXG_RPCH_Value,ODA/PRT_TM_RPCH_Value,ODA/PRT_TMG_RPCH_Value,ODA/PRT_GGXWDG_NGDP_Value,ODA/PRT_GGXWDN_NGDP_Value,ODA/PRT_GGXONLB_NGDP_Value,ODA/PRT_GGR_NGDP_Value,ODA/PRT_GGSB_NPGDP_Value,ODA/PRT_GGX_NGDP_Value,ODA/PRT_NGSD_NGDP_Value,ODA/PRT_PPPEX_Value,ODA/PRT_PCPIPCH_Value,ODA/PRT_PCPIEPCH_Value,ODA/PRT_PCPI_Value,ODA/PRT_PCPIE_Value,ODA/PRT_NGAP_NPGDP_Value,ODA/PRT_PPPSH_Value,ODA/PRT_LUR_Value
1991-12-31,0.029933938893476,-0.0025971431425432,0.068104546524177,2.4870689655172002,-0.9652435265104801,-0.90833333333333,-0.48123565535637,-0.53846153846154,0.06149138910744,,-0.5106100795756,0.075540619520748,,0.089554412192991,-0.12794873600451,0.073333333333333,-0.14525056095737,-0.33620505517978005,0.11428729812632,0.09323371566873599,-0.09723991507431,0.010752688172043001,-0.020591715976331002
1992-12-31,-0.0625375826819,-0.00050075112668994,0.054812732659728,-0.7861557478368401,11.073170731707,5.8181818181818,0.31448044959943,0.875,-0.091052839636316,,3.4945799457995,0.13191142507811002,,0.049583463269034,0.028989018087855,0.066252587991718,-0.22444872243612,-0.13675855411348,0.08861914000961801,0.080469727596496,-0.11571025399812,-0.072340425531915,-0.067182213629773
1993-12-31,-0.019884541372675,0.00090180360721446,0.016752493788037,-2.4393063583815,-0.7605142332415099,-1.2933333333333001,-1.1395433457655,-1.4296296296296,-0.014877500724848,,-1.2354537232439,-0.10698511761882001,,-0.036078098471986,-0.10515577179628,0.029126213592232997,-0.33092632291548996,-0.26590457256461,0.05930202446418,0.059094283593170004,-1.0992021276596,-0.027522935779817,0.32823834196891
1994-12-31,-0.0006544502617799401,0.0016017619381319,0.036487663896976,-9.9799196787149,7.0253067484663,-7.0,-7.887222946545,-2.948275862069,0.055736438386403,,0.8681177976952601,-0.07881084858748,,-0.07998678996037,-0.07822502850127201,0.045283018867925004,-0.16172006745363002,-0.34444820582261,0.049712395743457004,0.038721435581102005,4.670241286863299,-0.016509433962264,0.23659059879072
1995-12-31,-0.0063304955249947,0.0026986506746626,0.044408906384549,-0.9494633273703,0.29842331581462,-0.022727272727273,-0.1068622811169,-0.14159292035398,0.029690031885422002,,-0.48937628512680004,0.058095766099617994,,-0.0039485964534424,0.068642374655123,0.036101083032490995,-0.20156910078454998,-0.12419313193907,0.039686562461471,0.033930788749122996,0.39810874704491994,-0.011990407673861,0.13564668769716
1996-12-31,0.012082601054482,0.0025917065390749,0.055097500327182004,34.070796460177,-0.5797026788342701,-0.015503875968991998,-0.45400593471809997,-0.1340206185567,-0.015043064791783002,,-0.075167785234899,0.035602007611272996,,0.018716063620201,-0.11849543734698,0.0069686411149826,-0.26077097505669,-0.20548349056604,0.029343558120536,0.026943059290395,-0.16435576597903,-0.0024271844660194,0.0070833333333334
1997-12-31,0.026264380290862005,0.0032809703718433,0.061944926817167,0.46328538985616996,-0.20381719488706,-0.63314960629921,0.40663819875776,-0.041666666666667,-0.06643416712479401,-0.19411421110500002,-0.38171262699565,0.0083615157244428,-0.25786163522013,-0.01978726916818,0.014492753623188,0.022491349480968998,-0.35514655760055,-0.22634508348794002,0.018919368671676002,0.020846574297698997,-0.5552407932011301,0.0024330900243309,-0.07033512618949099
1998-12-31,0.027918781725887996,0.0037657318402537,0.062793468357979,0.23417830660459002,2.2504948317572,1.5881090362738999,2.1199116875949,1.7975155279503,-0.07487900480300298,-0.086529237459762,1.7934272300468999,-0.0079752819077297,0.15662272441932998,-0.0028872527789807,0.021105027376804003,0.027072758037225,0.17019027484143998,0.34964028776978,0.022148519453762002,0.028140953804008998,-1.6888080072793001,0.024271844660194,-0.26761608070019
1999-12-31,0.013786008230453001,0.0042452364497977,0.056660072535443,0.21419589213358,-0.92848443843031,-1.0345828495604998,-0.8902255639097699,-0.8993339253996401,-0.016709102482495002,-0.022123687281214,-0.55798319327731,0.021509383734860003,-0.16173677069199,0.00079629361517304,-0.034123037925319004,0.016474464579901,-0.020776874435411,-0.39303482587065003,0.021680882967479,0.017076420007267,1.3394980184941,0.0071090047393365,-0.11261899939233999
2000-12-31,0.020905216155876,0.0053086905230044,0.062800651096515,0.19021864211738002,-3.1589403973509995,3.841726618705,-3.6575342465753002,-3.7048963387737,-0.021706586826347,-0.00071595627893659,0.5,-0.0018502592969014,0.35513111039171,0.0033755274261604,-0.1050772181286,0.0097244732576986,0.29335793357934004,1.2306791569087001,0.028041767918581,0.038104310550131006,0.57933370976849,-0.0094117647058824,-0.10408582515407001
2001-12-31,0.018091451292246995,0.0065519264619596,0.042986392127888,-0.0021270424441652,-2.6134969325153,-2.2387320455671,-1.4210127349908999,-1.5079908675799,0.056018528091979006,0.10505827283149,1.9150823827630001,0.0010965484831080001,0.19182990922121,0.037029917097199994,-0.034683058876607005,0.012841091492777,0.5727532097004301,0.035695538057743,0.044092350538868,0.03945859142005,-0.23846978905970997,-0.004750593824227999,0.02140127388535
2002-12-31,0.005858230814294,0.0072865053920141,0.023114960216183998,-0.20220908826664,1.1721890277023002,1.9924030387845,-0.29528267915015993,-0.46581059390047996,0.051147489621681,0.036783298394243,-0.6095652173913001,0.033460254537867995,0.034475846863099,-0.0022476596533507,0.006484781211660999,0.022187004754358,-0.16598639455782,0.0040547389761784,0.03678341272065,0.039615978812624,-0.5422535211267601,-0.021479713603819,0.24594662010476
2003-12-31,-0.0058241118229469,0.0070408950617284,0.010647517642689,-0.21872722856449,0.6046511627907,0.82242116515232,3.2570260602964,4.1856971153846,0.037630402384500994,0.064244470848185,0.4554565701559,0.033033033033032996,0.053090486339857,0.037669244524954,-0.024785233341072996,0.0093023255813954,-0.1141924959217,-0.41317516405856,0.032581318170517,0.023245939921452,-2.2687179487179,-0.048780487804878,0.25405405405405
2004-12-31,-0.0007810974419059701,0.0058423522651087,0.04352974805014499,0.29441939996891,-0.37244818450989997,-0.45721827113425,0.11727283639419,0.15158187507243,0.031579892280072,0.040231123298404,0.28691660290742,0.010919484072699,0.058877644894204,0.016606611311296,-0.064519969049461,-0.0030721966205837,-0.22989564149785,0.1152688172043,0.025093958396582995,0.025933609958506,-0.43896523848019003,-0.035897435897436006,0.057311621966794006
2005-12-31,-0.0033222591362127,0.0044753380308512,0.0401747864084,0.23970217365198002,-1.4302210081947,-1.5662569228691,-1.3112376450365,-1.3262554090772,0.08830644459527699,0.087405147903368,1.5196195005945,-0.031655510716961,0.054387489139877995,0.025075402329216,-0.15804542851689002,-0.0061633281972265,-0.15225189318454002,-0.025067489394524,0.021262689188913,0.025278058645096003,-0.10086455331411999,-0.037234042553192,0.14479842971463
2006-12-31,0.0050980392156864,0.0033178500331785,0.045653854996132996,0.035067325389906,-3.7047619047618996,-2.9308206106870003,-1.7100448740076,-1.3864898210981003,0.018422273039835,0.01397378400374,-0.7029259084473801,0.012926409303022,-0.3780487804878,-0.04765688759073901,-0.06876747525126599,-0.0031007751937985,0.4306535025858,-0.013053797468353999,0.030430000000000002,0.024950690335306,-1.0801282051282,-0.038674033149171,0.0085729359008178
2007-12-31,-0.00039016777214215,0.0022675736961452,0.05089203979900599,-0.054562470753392996,0.29075970977378995,0.19421793921423,2.7384540593097,4.925778132482,0.073785035722698,0.08709313842685901,-0.51945988880064,0.013746889704613997,0.08903020667726598,0.00042847800103733,0.027752982228352995,0.0015552099533437,-0.20374630299047,0.095390781563126,0.024232601923469,0.027326084864813,34.16,-0.028735632183907997,0.041454165032039
2008-12-31,0.004488680718189,0.0013197586726998,0.019529229177444,0.25103939813898,-0.79995040092585,-0.8623008483343699,-0.46853055916775005,-0.45548821548822,0.048403135236313,0.060196675987307,0.6661157024793399,-0.0010206809399986,0.28856447688564,0.0099634822595915,-0.16683774180813,-0.0031055900621118,0.09409822534048701,-0.6915477497255799,0.026511275345840003,0.0084293340826075,-0.35437997724687004,-0.029585798816567994,-0.051732797589150996
