Date,ODA/GRD_LE_Value,ODA/GRD_LP_Value,ODA/GRD_PPPGDP_Value,ODA/GRD_BCA_NGDPD_Value,ODA/GRD_TX_RPCH_Value,ODA/GRD_TXG_RPCH_Value,ODA/GRD_TM_RPCH_Value,ODA/GRD_TMG_RPCH_Value,ODA/GRD_GGXWDG_NGDP_Value,ODA/GRD_GGXWDN_NGDP_Value,ODA/GRD_GGXCNL_NGDP_Value,ODA/GRD_GGXONLB_NGDP_Value,ODA/GRD_GGR_NGDP_Value,ODA/GRD_GGX_NGDP_Value,ODA/GRD_NGSD_NGDP_Value,ODA/GRD_PPPEX_Value,ODA/GRD_PCPIPCH_Value,ODA/GRD_PCPIEPCH_Value,ODA/GRD_PCPI_Value,ODA/GRD_PCPIE_Value,ODA/GRD_PPPSH_Value,ODA/GRD_NID_NGDP_Value
1991-12-31,,0.0,0.059241706161137,0.081202456236825,-0.89238555057879,2.9650468883205003,-0.20386209328983,-33.280182232346,,,-0.44828012868102,-0.63148887621221,0.050397275822929,-0.08346896070681199,-0.067229281244074,0.030939871570344,-0.029001468428781,0.014028586553732,0.026448482542098996,0.038314915794045,0.0,-0.016623441552354
1992-12-31,,0.010416666666667001,0.022371364653244,-0.32075951513096995,-1.2854054054054,1.2201677058697,-1.3867537933326,-1.3832474772423,-0.053420632533605,,-0.6662928907826899,-1.3209494324045,-0.10235573805921999,-0.19348409074436,-0.13139168445663998,0.015855039637599,0.42835538752363006,-0.74706342991386,0.037785398708561006,0.0096977583616056,-0.5,-0.2023767913317
1993-12-31,,0.010309278350514999,0.0,0.66117558966679,2.7481060606061,-0.20501646329652998,-4.8711340206186,-3.7308046400295,0.13283961480178,,-0.8918010752688199,2.1639871382637,0.13227717051091,0.063760952594923,-0.22464743402189002,-0.0033444816053512,-0.2564849126522,4.0330237358101,0.028088716880023998,0.048759531736656,0.0,0.058122858736355996
1994-12-31,,0.010204081632653,0.052516411378556,-0.33656374427166,-14.462860030318,-4.2544158850043,-0.9569462938304499,-0.9968983885105501,0.0065157824332781,,17.049689440994,-1.4857723577236,-0.04882197839584901,0.067500211202163,0.64452830188679,0.0,-0.07297970808116801,-0.24748820996514,0.026032692892409,0.036705434862117005,0.0,0.15281804148939998
1995-12-31,,0.010101010101010001,0.04781704781704799,0.41048578869890007,-1.0075066621627,-0.98165858771125,-10.106529209622,-116.21739130434999,-0.057983751688067,,-0.8382656572608399,-2.1903765690377,0.039032459983904,-0.06184710351377,-0.30633318035796003,0.0044742729306488,0.16244239631335997,-0.49209809264304993,0.030268820997672002,0.018641341160533,0.0,-0.09957544088830801
1996-12-31,,0.01,0.06547619047619099,0.25674373795761,-14.845,4.6030612244897995,-5.396226415094299,-5.396226415094299,0.014654348518636999,,5.5063829787234,-2.1309314586995,0.01656697792504,0.1254375975368,0.055309295401919006,0.010579064587973,-0.32870829203832,0.15611587982832997,0.02032598274209,0.021555724873589,0.0,0.14631315512676002
1997-12-31,,0.0,0.068901303538175,0.13523700012776,3.5846876128566003,5.671280276816599,-0.4256652360515,-0.4256652360515,-0.062480376766091,-0.062480376766091,0.63015042511445,1.4382284382283999,-0.076109041652557,0.0047970617996477,-0.071719641401793,0.0066115702479339,-1.2170275590551,-0.24083526682135,-0.00440303917094,0.016354538180931,0.0,0.030817908558772002
1998-12-31,,0.0,0.1411149825784,0.031005570873896,-0.28042536431666,-0.42435575453156,-0.13899267672994,-0.13899267672994,-0.03418333173859,-0.03418333173859,-0.518555667001,-0.62523900573614,0.052231283789975,-0.05389578904181099,-0.11264942257041,0.0038314176245211,-4.1859410430839,-0.28850855745721,0.014049564490466997,0.011634888654649,1.0,-0.034285889683538996
1999-12-31,,0.0,0.093129770992366,-0.36813666630281,1.2574712643678,2.0121401811543,1.4827286929353,1.4827286929353,-0.14506501547988002,-0.14506501547988002,0.15,-0.1547619047619,-0.039144822781503,-0.021248915871639,0.7485348961108199,-0.0092693565976009,-0.5914590747331,-0.06958762886597901,0.0057440697798107,0.010828420316806999,0.0,0.09818193376136301
2000-12-31,,0.0099009900990098,0.085195530726257,0.4632460913880999,-1.0273009407429001,-0.89832643229372,-0.49143536321052,-0.49143536321052,0.20592154817776,0.20592154817776,-0.09202898550724599,-0.21026156941649998,0.06666062446186599,0.049019212953639014,-0.087620788717681,-0.0060539350577875,2.7317073170732002,2.1837488457987,0.021417239555791,0.03448590814196201,0.0,0.09695811988075599
2001-12-31,,0.0,0.0025740025740026,0.1668240850059,18.335701598579,-3.7203468566119997,-1.4747731646962,-1.4747731646962,0.071637918608562,0.071637918608562,1.5570630486831998,4.6356687898089,-0.00076472087687997,0.1491322377515,-0.49601641143075,-0.0011074197120709,-0.21848739495798003,-1.2024361948956002,0.016735697644318,-0.0069750135590227,0.0,-0.19975726234136001
2002-12-31,,0.0,0.050064184852374995,0.17550338965901002,0.18243615653132,0.8650956284153001,0.35616041696829,0.35616041696829,0.77300035868006,0.77300035868006,1.2576466916355,1.4679023508137,-0.071045918367347,0.21344560278000999,-0.58131389625142,-0.011640798226164,-0.36260454002389,-4.2750716332378,0.010680686924751,0.022862949320462,0.0,-0.08809759314210301
2003-12-31,,0.0,0.11613691931539999,0.062750161394448,-1.1030919825979,-1.1144784227553002,-2.5550336286965,-2.5550336286965,0.0059678846883297,0.0059678846883297,-0.75053570194235,-1.0279355193259,0.18508856240559998,-0.18763079634321,1.1736378023966,-0.02019068984857,1.0196813495783001,-0.2830271216098,0.021551289802499,0.016391406929095,0.0,0.24040060741919
