Date,ODA/AGO_LE_Value,ODA/AGO_LP_Value,ODA/AGO_PPPGDP_Value,ODA/AGO_BCA_NGDPD_Value,ODA/AGO_TX_RPCH_Value,ODA/AGO_TXG_RPCH_Value,ODA/AGO_TM_RPCH_Value,ODA/AGO_TMG_RPCH_Value,ODA/AGO_GGXWDG_NGDP_Value,ODA/AGO_GGXCNL_NGDP_Value,ODA/AGO_GGXONLB_NGDP_Value,ODA/AGO_GGR_NGDP_Value,ODA/AGO_GGX_NGDP_Value,ODA/AGO_NGSD_NGDP_Value,ODA/AGO_PPPEX_Value,ODA/AGO_PCPIPCH_Value,ODA/AGO_PCPIEPCH_Value,ODA/AGO_PCPI_Value,ODA/AGO_PCPIE_Value,ODA/AGO_PPPSH_Value,ODA/AGO_NID_NGDP_Value
1991-12-31,,0.028009645705805997,0.043536255511505,1.5391221374046,-0.9872602739726,,-0.7540506329113901,-2.1051937984496,,,,,,1.0588901472254,,45.516639388979996,94.864702673213,,,-0.0098039215686273,1.2265489516002
1992-12-31,,0.028058462648863,-0.036891066609857005,0.64411875234874,43.940860215053995,,-6.440298507462701,-3.9872343410255002,,,,,,0.30881659594531,,2.507851990852,1.8214944229456,,,-0.15841584158416,0.71613679813071
1993-12-31,,0.027994734532689997,-0.22175115207373,0.25348571428571,-1.9899509510707,,-1.9046402724563998,-1.5475592289089,,,,,,-0.030139289145052997,,3.6121358622788,2.7069381778282007,,,-0.25882352941176,0.025993316004456004
1994-12-31,,0.028000682943486,0.03495973472288,-0.30187819110139,-1.9952870090634,,0.3996862745098,-0.1606346483705,,,,,,0.11743221493129,,-0.31149871400445,-0.47115308231141,,,-0.015873015873016,-0.027868259138617
1995-12-31,,0.027985384487627003,0.17397473452948,-0.30429672195377006,0.48615832928605995,,-2.0447906160111002,-1.8029528966997002,,,,,,-0.14852362749985998,,1.8135518982997,2.8931070811993,,,0.11290322580645,0.08612558947629699
1996-12-31,,0.036109540350594,0.22187999532145,-9.5823165008448,-0.12598039215686002,,-0.0072940503432495,-0.25908252210982,,,,,,0.8001301236174401,28.0,0.55151689787182,-0.56372635686633,26.0,14.666666666666998,0.15942028985507,0.24276355880560999
1997-12-31,,0.029003586464992993,0.073069559668156,-1.2303250360908,-0.43727799588708,,-0.6962973634922901,2.3796479175612,,,,,,-0.53845597802516,0.96551724137931,-0.94657707048463,-0.9093659230990601,2.2592592592593,1.5106382978723,0.0125,-0.26598222494637
1998-12-31,,0.028943779360508997,0.010853404698185999,1.4928774928775002,-0.57873754152824,,-1.6451612903226,-1.3921638377883998,,,,,,-0.54353954581049,0.43859649122807004,-0.51497571018366,-0.09899679857774,1.0795454545454999,1.3559322033898003,-0.024691358024691003,0.38207172978164
1999-12-31,,0.029013254786450997,0.048212972495955006,-0.031314285714285996,-0.43769716088328003,-0.43769716088328003,-5.9275735294117995,-4.6335363483219005,,,,,,-0.9845599588265601,5.4268292682927,1.3108099302795,1.4404972961746,2.4754098360656003,3.2949640287769997,0.0,-0.18192254244456998
2000-12-31,,0.029268641763275,0.053544367738677004,-1.3133160295737,0.13884992987376998,0.13884992987376998,-0.85208535402522,-0.98175820256776,,,,,,240.36666666667003,4.0645161290323,0.30929151493668,-0.18434898374168998,3.2531446540881004,2.6825795644891,-0.025316455696203,-0.55864106351551
