Date,ODA/CIV_LE_Value,ODA/CIV_LP_Value,ODA/CIV_PPPGDP_Value,ODA/CIV_BCA_NGDPD_Value,ODA/CIV_TX_RPCH_Value,ODA/CIV_TXG_RPCH_Value,ODA/CIV_TM_RPCH_Value,ODA/CIV_TMG_RPCH_Value,ODA/CIV_GGXWDG_NGDP_Value,ODA/CIV_GGXCNL_NGDP_Value,ODA/CIV_GGXONLB_NGDP_Value,ODA/CIV_GGR_NGDP_Value,ODA/CIV_GGX_NGDP_Value,ODA/CIV_NGSD_NGDP_Value,ODA/CIV_PPPEX_Value,ODA/CIV_PCPIPCH_Value,ODA/CIV_PCPIEPCH_Value,ODA/CIV_PCPI_Value,ODA/CIV_PCPIE_Value,ODA/CIV_PPPSH_Value,ODA/CIV_NID_NGDP_Value
1991-12-31,,0.040102389078498,0.033705910494498,-0.089828027808269,-1.2717592592593001,-1.273795379538,-1.2483344219463999,-1.2524771838331001,,,,,,-0.038130381303812994,-0.025783346892845,-3.3936170212766004,15.9,0.015754530773372,0.016890622483852,-0.022988505747126,0.08181594488189
1992-12-31,,0.039376538146021,0.020237293840458,-0.1129648241206,-3.8676076904356003,-3.8372709739634003,-0.40268279852709005,-0.41544022721405,,,,,,2.5498721227621,-0.022485327172827002,1.6780952380952001,1.1112426035503,0.042184850197852,0.035683493744831,-0.10588235294118001,-0.1889002615717
1993-12-31,,0.098816101026046,0.15674873190647,-0.11092227509631,-2.4352032589324,-2.4315574815192003,2.9114927344782,2.910777385159,,,,,,-0.8152017291066299,-0.08406588580963999,-0.4950213371266,-0.29372197309417,0.021289578954505003,0.02519495081633,0.10526315789474001,-0.21354458777342003
1994-12-31,,0.029952593018243996,0.023030303030302998,-0.97948260481713,-1.5064159422861,-1.5052825261159,-1.4148373297309,-1.4161960695731002,,,,,,-15.604288499025,0.44251120138078004,11.185915492958,11.777777777778,0.25955984863573,0.32200384462415005,-0.023809523809523996,0.71902299875201
1995-12-31,,0.029011786038078,0.077711179258433,26.024844720496997,-0.41008874357777,-0.406554681076,-11.757394843961999,-11.757394843961999,,,,,,0.5300320341697801,0.10376355132279999,-0.45677300046232,-0.76086956521739,0.14100486223663,0.077004073958007,0.012195121951219998,0.84411947728687
1996-12-31,,0.028397153507286,0.10111233266507001,-0.7014479430016101,2.9760490894695,2.9760490894695,-0.8336318458162,-0.8336318458162,,,,,,-0.13975399110181,0.0271388917784,-0.80851063829787,-0.54545454545455,0.027000184774575,0.03499848692939799,0.048192771084337005,-0.1785051459423
1997-12-31,,0.027481217872677002,0.07532376002114399,-0.021555042340262003,-0.77901130084134,-0.77901130084134,-0.25701288855193,-0.25701288855193,,,,,,0.24601967346111,0.024598901977506,1.3337037037037,0.31057142857143,0.06300461036770501,0.045870115265673,0.011494252873563,0.1499281166564
1998-12-31,,0.02616894362132,0.055846851275329006,0.7230527143981099,-0.57039873845461,-0.57039873845461,1.6661224489796,1.6661224489796,-0.11907309008283999,0.056366381479618,-0.31422413793103005,-0.051292636358944994,-0.041280539174389,-0.15601855619761,0.043880868773572994,-0.17171877479765,-0.018312622629169,0.052193413940105994,0.045030321276504005,0.022727272727273,-0.045841519318926
1999-12-31,,0.024001500093756,0.033779065256188,-0.57808219178082,5.300996329313099,5.300996329313099,-1.216166564605,-1.216166564605,0.036983510472807,0.28060981419724,-0.32998114393463,-0.10677182485722,-0.06707674282366699,0.09951783992285401,-0.0082976178610585,-0.8237210193523701,-0.83477681545636,0.0091990308343471,0.0074388838587539,-0.022222222222222,-0.032382853933987
2000-12-31,,0.021485686382225,-0.024594060396808,1.5021645021645,-1.2291944074566998,-1.2291944074566998,4.5860481586401995,4.5860481586401995,-0.010200921373543002,-0.5729166666666701,1.7110694183864998,0.014005602240896002,-0.068550497121926,-0.08998421329591301,-0.01645769994221,-1.4141304347826,2.4059139784946,-0.0038054631308402,0.0253383036307,-0.09090909090909101,-0.18184163012639
2001-12-31,,0.018882581416194002,0.024034268711845,-0.76254325259516,0.56172839506173,0.56172839506173,-1.0673851030111,-1.0673851030111,-0.038046347902611,-1.8423344947734999,0.42975778546713,0.0075666586596203,-0.11168539325843,0.09059367771780999,0.05003065603924,-12.430446194226,0.88752959747435,0.04355,0.04784055141639099,-0.025,-0.064864438839849
2002-12-31,,0.016714562195766,-0.0015780377226161,-11.47723132969,-0.97837712159963,-0.97837712159963,-2.8146754468485,-2.8146754468485,-0.11507537177650001,-1.9110651499483,-0.5244433688286501,0.026582429371796005,0.14501644320769,0.27492046659596997,0.050546926700144,-0.29276693455798,-0.080284340372151,0.030798715921613998,0.043983307826120005,-0.03846153846153799,-0.26885798567214003
2003-12-31,,0.015459160129211,0.0060712493728047,-0.69315020862309,54.45161290322601,54.45161290322601,5.9854847071021,5.9854847071021,-0.104803694089,0.97843359818388,-0.8910941475827,-0.08401068276823,-0.032311516155757995,0.014417411797324,0.027522000926354998,0.070454545454545,-1.0247783587179,0.032974184012122,-0.0010926374446851,-0.053333333333333004,0.48345821325648
2004-12-31,,0.050897523290161,0.040147623559922005,-0.23456090651557998,-5.2084545278263,-5.2084545278263,-2.6060853432282003,-2.6060853432282003,0.0059794184823056,-0.17670682730923998,1.9906542056075,0.09253977308740599,0.065753424657534,-0.1184830884865,-0.054894925217046,-0.55747649378223,-41.761467889908,0.014588358112242999,0.04443694966547,-0.04225352112676,-0.10249436630663
