Date,ODA/BFA_LE_Value,ODA/BFA_LP_Value,ODA/BFA_PPPGDP_Value,ODA/BFA_BCA_NGDPD_Value,ODA/BFA_TX_RPCH_Value,ODA/BFA_TXG_RPCH_Value,ODA/BFA_TM_RPCH_Value,ODA/BFA_TMG_RPCH_Value,ODA/BFA_GGXWDG_NGDP_Value,ODA/BFA_GGXCNL_NGDP_Value,ODA/BFA_GGXONLB_NGDP_Value,ODA/BFA_GGR_NGDP_Value,ODA/BFA_GGX_NGDP_Value,ODA/BFA_NGSD_NGDP_Value,ODA/BFA_PPPEX_Value,ODA/BFA_PCPIPCH_Value,ODA/BFA_PCPIEPCH_Value,ODA/BFA_PCPI_Value,ODA/BFA_PCPIE_Value,ODA/BFA_PPPSH_Value,ODA/BFA_NID_NGDP_Value
1991-12-31,,0.029415118002507998,0.12696747114376,0.2130836691159,,,,,,-0.93905031892275,-0.6302982731554201,0.30403528835158,0.6764331210191099,-0.059326868225898,-0.070614918501718,-4.1003717472118995,-0.34391143911439004,0.025002559639602996,-0.0088923815038465,0.055555555555556,0.0036726415611468
1992-12-31,,0.029128364159929,0.025139664804468997,-0.077178585384916,,,,,,3.1337209302326,0.40905874026892997,0.0030694061638688,-0.031028368794326,0.064205579138872,-0.020069569651605,-1.7957633892886,-0.81664791901012,-0.019897714559693,-0.0016275090764929997,-0.10526315789474001,0.024631348989623
1993-12-31,,0.028842014636246003,0.059218891916439996,-0.05060343002329,,,,,,-7.0267229254571,-2.4655951783024,-0.013051895335040002,0.31276957260489,0.047083125578745,-0.037318564499043,-1.3083877448518,-17.539877300613,0.0061353444761515,0.026960374519311,0.058823529411765,0.022546772560098
1994-12-31,,0.028347280334727998,0.034813925570228,-0.7821141837645,,,,,,-0.5047841306884501,-0.76010966415353,0.13433308023285,-0.001941457586619,0.29272108843537,0.12249914734519,39.260586319218,9.7904302670623,0.24719920585077,0.29091538117139,-0.055555555555555004,0.041492910758966
1995-12-31,,0.028074458346047996,0.079217765992708,2.9651995905834,,,,,,0.40197926484449,1.2742857142857,0.053160037931612,0.09007930570103301,-0.11177182550124001,0.045880080030728,-0.68559870550162,-0.8645285483482901,0.07772525705375,0.039411662699226,0.058823529411765,0.038688688688688994
1996-12-31,,0.027604630454141004,0.13037469287469,1.1045431078988002,,,,,,-0.37042016806723,-0.36871859296482007,0.077171610169492,0.016289178677648,-0.10610818176432,-0.014498234997478997,-0.21397323726197,0.7586906876427301,0.061086995840115996,0.069312787223393,0.055555555555556,0.11983809569701
1997-12-31,,0.027151935297516003,0.08137481320472799,0.011406844106464,,,,,,0.5867592098238101,1.1402985074627001,-0.038845454098441,0.013867002836431998,0.12248144220572998,-0.0015351157733146,-0.52054346046816,-0.39720098109941,0.029289356685273996,0.041771272144448,0.0,0.08351979345955299
1998-12-31,,0.027465316835396002,0.08467336683417098,-0.17499393645404,,,,,,-0.017160161507402,0.0013947001394701,-0.013812861308641,-0.014254629424042,0.084848842701937,0.067816059939281,0.6975076818026601,-0.76495931067496,0.049721927052427,0.0098300838688597,0.052631578947367995,-0.00015884992653196
1999-12-31,,0.028373323601861,0.078642575862868,0.55696016463325,,,,,,0.27832933926736997,0.38811513463323993,0.067074752295482,0.09487341201910099,-0.25962009470419,0.028624490711517004,-1.2288817377313,-0.34623217922606997,-0.011384849998685,0.006417689092625,0.05,-0.039003852722723
2000-12-31,,0.029808374733854,0.052829378288414004,0.14293806646526003,,,,,,-0.08810926620246401,-0.15785953177257997,-0.08162372386971299,-0.08266129032258099,-0.66867602734691,-0.030262303728648,-0.87961335676626,2.8473520249221003,-0.0013696808510639,0.024703266082576,-0.04761904761904799,-0.31337053110146995
2001-12-31,,0.029117849758787003,0.09036206017338098,-0.15256897406245,-1.4584397367191002,-1.4042295666207,-1.4353361421506,-1.4468477974148997,,0.17533039647576998,0.25536139793487,-0.041183632417553004,-0.0081184122000449,-0.24184601730641,0.016155097301905,-35.423357664234,-0.63198380566802,0.04716566573897799,0.0090861550529482,0.05,-0.17672906759766002
2002-12-31,,0.029298509961492997,0.059582826676644,-0.095623355102837,2.9156598148438997,2.8110288613491,0.7637281716810401,0.64029909484455,,0.24537731134432997,0.3394495412844,-0.066802848782642,-0.010264990503753,1.0918934738074,0.01545049357173,-0.5122985581000801,3.3289328932892994,0.023003853050013,0.039347023385373,0.0,0.20106748555970003
2003-12-31,,0.029521795705921002,0.099576271186441,-0.060034490191852,-0.43062373519805996,-0.23522479266695998,1.8152809256829,1.4311420345488999,-0.08321518831288902,-0.5959069020866801,-0.6865847897968801,0.052239247470863,-0.09535340613149401,0.25881365416900004,-0.0057121135326914,-0.11217391304348,-0.19567979669632,0.020410700079555,0.031649672159757,0.047619047619047006,0.07865100140013401
2004-12-31,,0.029623192985227996,0.073538856775851,0.25719527577113,2.9441883379667,2.266223389076,-0.49155738225885,-0.38833514260338003,0.027275375960913,1.3430983118173,1.991710625471,0.016080062970876004,0.15106060606060998,-0.41753723049567,-0.025864925346505,-1.1968658178257,-0.7816745655608199,-0.0040199780728469,0.0069114679619628,0.0,-0.085445002539647
2005-12-31,,0.029768298296762002,0.12159736763386,0.056913535206129004,-0.85884441748006,-0.8628631339827901,-0.50252093837243,-0.63859309454663,-0.038048695348634004,0.16507734689553,0.22619647355164002,-0.046370075254537006,-0.00258874116976,0.66514024041214,0.0056462880496497,-16.947761194029997,5.471780028943599,0.064114481409002,0.044724178896715996,0.045454545454545005,0.25368713360073997
