Date,ODA/HND_LE_Value,ODA/HND_LP_Value,ODA/HND_PPPGDP_Value,ODA/HND_BCA_NGDPD_Value,ODA/HND_TX_RPCH_Value,ODA/HND_TXG_RPCH_Value,ODA/HND_TM_RPCH_Value,ODA/HND_TMG_RPCH_Value,ODA/HND_GGXWDG_NGDP_Value,ODA/HND_GGXCNL_NGDP_Value,ODA/HND_GGXONLB_NGDP_Value,ODA/HND_GGR_NGDP_Value,ODA/HND_GGX_NGDP_Value,ODA/HND_NGSD_NGDP_Value,ODA/HND_PPPEX_Value,ODA/HND_PCPIPCH_Value,ODA/HND_PCPIEPCH_Value,ODA/HND_PCPI_Value,ODA/HND_PCPIE_Value,ODA/HND_PPPSH_Value,ODA/HND_NID_NGDP_Value,ODA/HND_LUR_Value
1991-12-31,,0.028140293637847,0.066942311478638,0.85927601809955,-5.105906313645599,0.52408714329549,-3.1082220660576003,-1.2119944211993998,,,,,,-0.029028852920479003,0.22010869565217,0.45560176649659,-0.41758875374097,0.33951052472555,0.21212121212121,0.026315789473683997,0.072830370787421,-0.07475978439184401
1992-12-31,,0.027568425228084,0.080273113120502,0.31199805305427003,-4.9583333333333,-1.4006442520636002,0.24583333333332996,10.227631578947001,,,,,,-0.011173521773268,0.066815144766147,-0.74252555303544,-0.6969168395248,0.08740601503759401,0.064285714285714,-0.05128205128205099,0.053116917194587,-0.20744680851064
1993-12-31,,0.026828797529435,0.087546976426375,0.37488406603598995,-1.1374686716792,10.623618090452,-0.05391304347826099,1.0986757295207,,,,,,0.26545321280235,0.10960334029228,0.23269648781604,1.0356198475657,0.10776145203111,0.13087248322147998,0.027027027027027,0.29251797536840995,-0.044103547459252004
1994-12-31,,0.025751879699247995,0.0080106809078772,0.018483540205073003,17.46581586144,-0.6169210150879799,-1.3867364253394,-0.25569577842304997,,,,,,0.15817163818901,0.26199435559737,1.0203248259861,1.2220524184305,0.21768304100867997,0.29080118694362,-0.026315789473683997,0.12136483807006,-0.06385824139083901
1995-12-31,,0.024738867509621,0.062485391507595994,-0.50430520598755,-2.3997630448734,-0.063311138697664,-4.1473491773308995,-0.83494635756621,,,,,,-0.29064388414253006,0.22288483041372,0.3520143323074099,-0.082977991746905,0.29430760950354995,0.26666666666667005,0.0,-0.36275448807682,0.09071428571428598
1996-12-31,,0.023605150214592006,0.054704113808022,0.076429716729022,-0.71807441368365,0.9638554216867501,-0.73385223048327,4.63,,,,,,-0.0091063979789672,0.20755867113685,-0.18982739874965998,-0.047211909851127,0.23845544554454998,0.2540834845735,0.0,0.0012717743178666,0.13064833005894
1997-12-31,,0.022536687631027,0.067927414308559,-0.24205561072492998,-0.8754065549161899,-0.82822085889571,-1.6084679179398,0.60665267237203,,,,,,0.11680303569311,0.20217062089854002,-0.15286223526945,-0.49877991183878995,0.20199226120046998,0.12735166425470001,0.0,0.068473114968631,0.38864755285259
1998-12-31,,0.021698274389201997,0.040169270833333,-0.32328856862103006,0.20080321285140998,1.8189285714285999,-6.410329985652799,0.1105527638191,,,,,,0.14583775748567002,0.10434600041989998,-0.32336633663366,0.22976050255202,0.13668107748587,0.15661103979461,0.0,0.09978386167146999,0.24629822732013001
1999-12-31,,0.02123745819398,-0.0038805783313514,0.82139399806389,-9.053511705685601,-2.921322690992,-0.41434632723416,-0.80090497737557,,,,,,-0.013204837140341999,0.098669201520913,-0.14661984196664002,-0.29838452206116994,0.11664131070802002,0.10987791342952,-0.054054054054054,0.059416966917785995,-0.09939759036144599
2000-12-31,,0.021123301129851002,0.081558278353754,0.9014084507042299,-1.7273671096346,-2.3386086383119,-0.20783337106633,-0.8181818181818199,,,,,,-0.0077472063104516,0.072157812770375,-0.052897805212620004,-0.080815435020022,0.11047297651362,0.10099999999999999,0.0,-0.12540192926045002,-0.25678186547752
2001-12-31,,0.020686337395766998,0.050659385348282994,-0.11572327044025,0.45332572081073,-0.4984236453202,1.4255501571878002,9.60875,-0.041317365269461,-14.581325301205,-2.0438154323381,-0.07030693857041201,0.13423075289821002,-0.069038943831922,0.056810845706907996,-0.12419661446546999,-0.12772277227722997,0.09674588044319501,0.088101725703906,0.028571428571427995,-0.080847002262443,0.01325
2002-12-31,,0.020581304006284,0.05346972629250799,-0.42769084874348,-0.60223924572775,-0.60223924572775,-0.77542123247319,-0.77542123247319,0.012766411236879,0.44644045242848,1.3335809806835,-0.007026394018557,0.06956196181205498,0.048947849954254004,0.035430665852169,-0.20506459948320002,-0.080930760499433,0.076904542677417,0.080968280467446,0.0,-0.06703588323526001,0.09301751788798401
2003-12-31,,0.020320197044335,0.06629225278186,0.87544877105772,1.876049382716,1.876049382716,-0.6610703043021999,-0.6610703043021999,0.054799259916665004,0.0090463048144741,-0.0098694683221904,-0.020411866098158,-0.013721646597591999,-0.10403643940495,0.036873156342182994,-0.0022103757638798,-0.16080029640607998,0.076742364917776,0.067953667953668,0.0,0.04217165471184801,-0.15598194130926002
2004-12-31,,0.02021726010863,0.091557962096973,0.13871300250331,-0.087225274725275,-0.087225274725275,7.657894736842099,7.657894736842099,-0.10113801659964,-0.40981613736514,-0.37877813504823,0.08057047601407699,-0.033929585462805,0.18620876149270002,0.035988620199147,0.05733646077664799,0.3514348785872001,0.08113543599257901,0.091829356471439,0.0,0.17345041730944,0.05482749398234799
