Date,ODA/ERI_LE_Value,ODA/ERI_LP_Value,ODA/ERI_PPPGDP_Value,ODA/ERI_BCA_NGDPD_Value,ODA/ERI_TX_RPCH_Value,ODA/ERI_TXG_RPCH_Value,ODA/ERI_TM_RPCH_Value,ODA/ERI_TMG_RPCH_Value,ODA/ERI_GGXWDG_NGDP_Value,ODA/ERI_GGXCNL_NGDP_Value,ODA/ERI_GGXONLB_NGDP_Value,ODA/ERI_GGR_NGDP_Value,ODA/ERI_GGX_NGDP_Value,ODA/ERI_NGSD_NGDP_Value,ODA/ERI_PPPEX_Value,ODA/ERI_PCPIPCH_Value,ODA/ERI_PCPIEPCH_Value,ODA/ERI_PCPI_Value,ODA/ERI_PCPIE_Value,ODA/ERI_PPPSH_Value,ODA/ERI_NID_NGDP_Value
1993-12-31,,-0.0008831321754488301,0.15550510783201002,,,,,,,-0.38702418901180996,-0.38046127882992997,0.80825457042875,1.0607669149105001,0.46036940484775,-0.0012062726176116,,,0.047867165373057,0.10620012277471,0.125,1.1628778093516001
1994-12-31,,0.0020624631703004,0.23510150622135,,,,,,,1.0575099418783,1.0723365617433,-0.17355446636885002,-0.25091307523740003,0.24945877169661002,0.10507246376812,1.7463964904951,-0.31358885017422,0.13147089772422002,0.07288198298187201,0.22222222222222002,0.50594207226038
1995-12-31,,0.0088209350191121,0.044538706256628,,,,,,,-3.6388641094261,-3.5218343800203997,-0.013283729073203002,0.61248684852062,-0.76265312946469,0.093989071038251,-0.08853730889176199,0.68774866236795,0.11982348328744,0.12302681992337,0.0,-0.11635008129435999
1996-12-31,,0.016321772078111,0.11116751269036,,,,,,,-0.19758859654064997,-0.22233161521977998,-0.13761976579134,-0.15455861992138,0.31647028688525,0.08591408591408599,-0.14145038804974,-0.7147618273451499,0.10288226673180001,0.035089215652827,0.0,0.20688417179015
1997-12-31,,0.022655577860624998,0.097533120146185,,,,,,,-0.69309085802556,-0.7485105749180799,0.08474140369827401,-0.12378352941175999,2.0675162953595,0.02391904323827,-0.63656687402799,1.2046166999145,0.037399598393574,0.07735789976763001,0.09090909090909101,0.13319451158294
1998-12-31,,0.028883903533371003,0.030801248699272005,-4.9091770951839,,,,,,6.1439029970259,7.9123482380811,-0.12582388923135002,0.4629100517734,-0.73267577939171,0.080862533692722,1.5319604172238999,0.16597724922441,0.09466133416831501,0.09020543649518901,-0.083333333333333,-0.0031501230516817
1999-12-31,,0.034069228672662995,0.017161316373915003,-0.058786438376097,,,,,,0.48065714468712,0.47140911054258006,-0.027772504136042004,0.2053541272009,1.8066200023728,0.067331670822943,-0.11302418928911001,0.17793791574279,0.083966091117121,0.10625789252139999,0.0,0.31992494815497996
2000-12-31,,0.03821823932525,-0.10361254466058001,-0.96784333934553,,,,,,-0.38935871093328006,-0.42057129953709005,0.28111139007448,-0.09652660177142099,-0.096546476729932,0.17289719626168,1.3754912468739,1.5256470588235,0.19947223221781998,0.2683434166635,-0.18181818181818002,-0.45141902339268997
2001-12-31,,0.041381061183040996,0.11226749335695001,6.3285256410256,4.4216718266254,-2.8424148606811,-1.5725545238608998,-1.6109191679263002,0.08883855464019699,0.077391704742677,0.06352299298519098,-0.15884940336207998,-0.06892041317187599,0.4358302531231,0.12483399734396002,-0.26680703865243,-0.7112353269983199,0.14625,0.07749,0.11111111111111001,0.60299131699777
2002-12-31,,0.043881033642126,0.045789368903045996,-2.4874261972447003,-0.59096619460941,-19.066879516048,-0.9734741341379101,-0.88,0.020422040129538997,-0.13363797751331,-0.16071821179919002,-0.062750783090424,-0.09397946326415302,0.18453467153285,0.14403778040142,0.15398290598291,2.0736869273455,0.16876772082879,0.23817390416616,0.0,-0.16199200249568
2003-12-31,,0.04460532461466599,-0.0070435941366838,0.42178770949721,-4.9422029875749995,-1.7076807172886002,29.364928909952997,7.672557682867,0.084412870873381,-0.34785413425416,-0.38779252532309005,0.37613589283248,0.071149972825218,-0.012516849605238,0.19453044375645,0.34318895538307004,-0.12469560836341999,0.22669254310667,0.20847450004496998,-0.1,-0.10169548884903001
2004-12-31,,0.043147775542142,0.042369631901841,-1.0694860924413,-1.3232877682555,-1.2408295766688,-1.1926798813797,-1.9581116268538001,-0.26696349528719,-0.03363202606773,-0.036727998858936,-0.23264355819601,-0.18158754794132,-0.47294963227101,0.21468682505399997,0.10772420486126,-0.16620299309286,0.25110137519776,0.17383160179873,0.0,-0.23662597950573
2005-12-31,,0.04029147021003,0.058855986757403,-1.4970238095238,-0.63468068791763,-1.1223531979917,6.5135682462535,-1.0744416873449,0.10975739708024,0.33658477842004003,0.41178648108388,-0.07697740112994299,0.048248573147827004,0.10053385485491,0.042674253200569,-0.50197124766039,0.06420065581315099,0.12505957997335,0.18499241747732,0.0,0.0037506785767159995
2006-12-31,,0.037288833951379996,0.020670488101442,-11.730538922156,5.1610194902549,-4.1248884924175,0.93655328553717,-29.511904761904997,-0.029260954453797998,-0.36588881881251,-0.43117101054067003,-0.23259372609028,-0.28408161845287,-0.50895730272321,0.080832196452933,0.20454181992644002,-0.51143305043516,0.15064045754996,0.090381296792577,-0.11111111111111001,-0.32735139387384
2007-12-31,,0.034756703078451,0.041184479237577,0.70535714285714,-1.5285443130383998,0.32829003711105,-0.22059846903271002,0.08392484342380001,0.033051093350215,0.11231884057971,0.15054853876648,-0.10335659687603999,-0.029546117212557,-0.37411971830986,0.045124644998422,-0.38236856080722,0.39333923434387996,0.09304378862735499,0.12593137856296002,0.0,-0.07360573057525
