Date,ODA/NAM_LE_Value,ODA/NAM_LP_Value,ODA/NAM_PPPGDP_Value,ODA/NAM_BCA_NGDPD_Value,ODA/NAM_TX_RPCH_Value,ODA/NAM_TXG_RPCH_Value,ODA/NAM_TM_RPCH_Value,ODA/NAM_TMG_RPCH_Value,ODA/NAM_GGXWDG_NGDP_Value,ODA/NAM_GGXWDN_NGDP_Value,ODA/NAM_GGXCNL_NGDP_Value,ODA/NAM_GGXONLB_NGDP_Value,ODA/NAM_GGR_NGDP_Value,ODA/NAM_GGX_NGDP_Value,ODA/NAM_NGSD_NGDP_Value,ODA/NAM_PPPEX_Value,ODA/NAM_PCPIPCH_Value,ODA/NAM_PCPIEPCH_Value,ODA/NAM_PCPI_Value,ODA/NAM_PCPIE_Value,ODA/NAM_PPPSH_Value,ODA/NAM_NID_NGDP_Value
1991-12-31,,0.043122676579926,0.088614800759013,2.7919670442842,,,,,,,-3.2799479166667003,-1.9986440677966002,0.09968148255393101,0.19631422189129002,-0.30508709834131,-0.013639626704953,,,0.11901118304885,0.18098958333332996,0.0,-0.41271435746574
1992-12-31,,0.037063435495367,0.11748300505491,-0.5516023900054301,-0.77895833333333,-0.77895833333333,0.546,0.546,,,0.67618503712164,0.8275627970128999,0.055427555789612004,0.08925403790495699,0.10960751023669,-0.024745269286753996,0.48941532258065,-0.40239792253716,0.17730906795707996,0.10814438425771,0.0,0.25736102626756
1993-12-31,,0.033676975945017,0.0071751676805491,1.3082980012113998,0.6740496387056201,0.6740496387056201,-1.1862871927554999,-1.1862871927554999,,,0.031005110732537998,-0.09175334323922699,-0.047932389446766,-0.041313105339847,-0.12587192295576,0.09179104477611902,-0.51872532430908,-0.09948224852071,0.08533261850511599,0.09741748496777301,-0.05,-0.21245688189282
1994-12-31,,0.029920212765957,0.073718445098343,-0.31172920493309003,-1.3177254386788,-1.3177254386788,-4.7073412698413,-4.7073412698413,-0.019519778891,-0.019519778891,-0.73430270984798,-1.0359918200409,-0.029087097513839002,-0.09268365370287598,0.20253294892916002,0.13875598086124,0.26086956521739,0.15636550308008,0.10760301321368,0.11261776183531,0.052631578947367995,0.33917334978408004
1995-12-31,,0.029051000645578,0.053800663493437005,0.91460160121998,-3.8142350856468,-3.8142350856468,1.4538399785925,1.4538399785925,0.11451726568006,0.11451726568006,1.5907960199004998,-12.852272727272998,0.0074221517492663,0.049269173920184,0.14123640722664998,0.043817527010804005,-0.06961613532856199,-0.29752286247003,0.10008547961497,0.079111457521434,0.0,-0.00078312142988757
1996-12-31,,0.030740276035132002,0.04174650971804,-0.34030266825966,-0.7061601427222199,-0.7061601427222199,0.71210468920393,0.71210468920393,0.061755717146169,0.061755717146169,1.0499279884782,1.7027804410354999,-0.022102407822912996,0.047800907810299005,-0.0012379487564243,0.13398504887867,-0.2000999000999,0.067618806875632,0.080067567567567,0.084474211234775,-0.05,0.065695449725693
1997-12-31,,0.032258064516129,0.06490605702273,-0.24992453969212,-1.9728571428571,-1.9728571428571,-0.7798089171974499,-0.7798089171974499,-0.056178660049628,-0.056178660049628,-0.33887587822014004,-0.66690315714792,0.065100510256498,0.013533699808795001,-0.17987530048077,0.048174442190669,0.10216060946672,-0.18645673020007,0.088238974038161,0.068721240009688,0.0,-0.12683855338294
1998-12-31,,0.031839622641509,0.051202961135102004,0.91750503018109,-0.7430249632892801,-0.7430249632892801,1.1990164882846002,1.1990164882846002,0.10800294457882,0.10800294457882,0.15054906128232,-0.053248136315229004,0.0015754613851199,0.013942520265291001,0.28893977558965,0.066763425253991,-0.29677053824363003,0.26062281722934,0.062085021988445,0.08662398730950098,0.052631578947367995,0.27625842251288
1999-12-31,,0.031428571428571,0.042488262910798,-1.1712486883526,-7.33,-7.33,-0.81610102604578,-0.81610102604578,0.061123766135155994,0.061123766135155994,-0.32850985221675,-1.0247469066366999,0.0012519662290136,-0.029856386999244002,-0.10840676520749999,0.056235827664398996,0.38204962939091,-0.08946092577629,0.08576222565018499,0.0788842544317,0.0,-0.09592391304347803
2000-12-31,,0.012742382271468001,0.064512497185319,-7.0012254901960995,-1.1958925750395,-1.1958925750395,-4.7246065808298,-4.7246065808298,-0.10836314847942999,-0.10836314847942999,-0.55845942228336,35.727272727273004,-0.087399807630651,-0.11818644931228,-0.12350057785039999,0.23185916702447001,0.08056429987175,0.36739350912778995,0.092671984047857,0.10786256221911,-0.05,-0.26583365537378
2001-12-31,,0.0010940919037199,0.034690639873083004,-0.9393506228303,4.1555299539171,4.1555299539171,-1.7601305934318998,-1.7601305934318998,0.11431007674174001,0.11431007674174001,1.2377985462098,-1.6150990099009999,-0.029686621697582998,0.011791891800047999,0.028189506228971997,0.087835482746602,0.10185584807941,-0.16150565547932,0.10212600939824,0.090447110141767,0.0,0.3052403789917
2002-12-31,,0.016393442622950997,0.064090769702545,7.5791245791246,-0.47910614525140005,-0.47910614525140005,4.2246083880748,4.2246083880748,-0.019445444724523,-0.019445444724523,-0.26867749419954,-1.7746478873238998,0.017850030775915002,-0.0028884261436153,-0.068320509418944,0.090676065363665,0.24520172346258998,0.57607253427687,0.12716547656007002,0.1425285517131,0.052631578947367995,-0.17009454675807997
2003-12-31,,0.016666666666667,0.063304514889529,1.1145996860283,-3.7134277134277003,-3.7134277134277003,-0.7471347744088199,-0.7471347744088199,0.14510650018361998,0.14510650018361998,1.8965736040608998,-7.3558441558442,-0.085799658508822,0.019435462139585,0.17504390336513,-0.0099882491186838,-0.43260459263919004,-0.81927879893363,0.072164380543161,0.025768954711762,0.0,0.0458398574591
