Date,ODA/DNK_LE_Value,ODA/DNK_LP_Value,ODA/DNK_PPPGDP_Value,ODA/DNK_BCA_NGDPD_Value,ODA/DNK_TX_RPCH_Value,ODA/DNK_TXG_RPCH_Value,ODA/DNK_TM_RPCH_Value,ODA/DNK_TMG_RPCH_Value,ODA/DNK_GGXWDG_NGDP_Value,ODA/DNK_GGXWDN_NGDP_Value,ODA/DNK_GGXCNL_NGDP_Value,ODA/DNK_GGXONLB_NGDP_Value,ODA/DNK_GGR_NGDP_Value,ODA/DNK_GGSB_NPGDP_Value,ODA/DNK_GGX_NGDP_Value,ODA/DNK_NGSD_NGDP_Value,ODA/DNK_PPPEX_Value,ODA/DNK_PCPIPCH_Value,ODA/DNK_PCPIEPCH_Value,ODA/DNK_PCPI_Value,ODA/DNK_PCPIE_Value,ODA/DNK_NGAP_NPGDP_Value,ODA/DNK_PPPSH_Value,ODA/DNK_NID_NGDP_Value,ODA/DNK_LUR_Value
1991-12-31,-0.0052830188679244,0.0021421616358325,0.04672063287646,0.43663366336634,-0.8839963209933299,-0.010913268236646,-0.98884580401168,0.51017398997346,,,1.2802450229709,-0.49492557510149005,-0.018835804503020002,-4.621903520208599,0.011495280320366001,-0.039528333412899005,-0.0063364800206905,-0.16396052212670997,0.07976240984302099,0.026256407740796003,0.025454545454544997,0.2544578313253,-0.0097560975609755,-0.06365049907207701,0.09766987581972901
1992-12-31,-0.0049317147192716,0.0031092110376992,0.043000641538286005,0.9269469331495501,1.1456888007928998,-0.6680216802168001,24.969957081545,-1.0425698105839,,,-0.11383478844862,-0.55525787006028,0.025577881009682998,-0.32217422606192,0.018257657434737,0.027287638550624,-0.0058563248308173,-0.20373191165270002,-0.34970530451866,0.020912252189812002,0.016548463356974,-0.062620053784095,-0.083743842364532,-0.042586243839726,0.09419092411338499
1993-12-31,-0.022493328250095,0.0036807438977141,0.022867831684669996,0.22889842632332,-1.9231716705158002,0.37842565597668,-2.3105271855892004,13.990825688073,0.17774345395705,,0.46684350132626007,-1.2831325301205,0.033744451720876,0.25756771109931,0.053565229466083004,-0.047851751499903,-0.016756119910983,-0.31420373027259996,-0.22719033232628,0.014338721571290002,0.012790697674419,0.7463114754098399,-0.021505376344086002,-0.091199015274436,0.10745817843866
1994-12-31,-0.0074102964118565,0.003088206909863,0.07772084747438099,-0.39580908032596,-2.7525016677784997,4.4606598984772,-2.8915510718789,-6.1306609547124005,-0.04456490513720401,,-0.12735727202273,-1.4148936170213002,0.0060182659651222,0.421875,-0.0024877261194768,0.0011687585751310001,-0.0058580748235921,0.14016736401674,0.7052384675527801,0.016351635163516003,0.021814006888634,-0.77352734099977,0.024725274725275,0.08514436988241099,-0.18881779083185002
1995-12-31,0.020825147347741,0.0036559553588609,0.052143605108881,-0.50915221579961,0.61895698515417,0.36981950577116995,0.44813333333333,0.44521977694279996,-0.051192888424080006,,-0.13617525162818,11.307692307692001,-0.0085186027392467,0.0029700029700029,-0.015640741902984,0.041823165160897,-0.0080353555644837,0.18042813455657,-0.27877120586887,0.019301731478853,0.015730337078652,-0.82487046632124,-0.0053619302949062,0.10671734937025,-0.12608302081986
1996-12-31,0.013856812933024999,0.0067101226993865,0.047111214430488005,0.64376840039254,-0.95961674112391,-1.0665611038851,-1.0070895865942,-1.0168372400132,-0.04319431240441401,-0.0015291436795393,-0.30466072652502,0.28333333333333,0.0092092727850111,-0.28338762214984003,-0.0061577181208054,0.0090616778719673,0.0017550965303092,0.024352331606218,0.47679593134139003,0.019771651350599,0.023230088495574997,-2.4792899408284,-0.01078167115903,-0.024093915004869997,-0.06525599289730699
1997-12-31,0.014806378132119,0.0045705579889545,0.049653803993395,-0.67701492537313,-12.467248908297,4.3372982158029005,24.064935064935003,5.1102941176471,-0.05754276827371701,-0.029398516561063997,-0.70182355840315,1.1185064935064999,-0.010348926648486,-0.47355371900826,-0.034051964276669996,0.0308516801854,0.0026954177897575,0.1188669701568,-0.11579853637538001,0.022119060622611,0.020540540540541,2.904,-0.0081743869209809,0.09313442244051101,-0.17017571632104003
1998-12-31,0.0029928918817808,0.0037914691943127,0.032691100168545,-3.1367837338262006,-1.3264788017263,-1.3296720789557,-2.8059585492227996,-3.7472924187726004,-0.061270015890478,0.08653548666542901,-0.8413223140495899,0.1183908045977,0.0027555995195365,-0.45054945054945,-0.0061521252796421,-0.045431127347665,0.0010752688172043,-0.35171790235081,-0.38120740019474,0.014341437349719,0.01271186440678,-0.2172131147541,-0.0027472527472527,0.034935127342623995,-0.068485310950019
1999-12-31,0.0029839612085043,0.0035882908404155,0.041301578970949,-2.5155709342561,1.7943234836703,0.78512795750845,-1.0843494477119,-1.1525770185428998,-0.05472183339301401,-0.19117856430992,-14.34375,0.41452552243919,0.0081912344983088,-2.6028571428571,-0.016020680922904,0.059221824248074005,0.0014769065520944,0.48744769874477,1.4689221085758999,0.021334429027466,0.031380753138075,0.40706806282722996,-0.011019283746556002,-0.078980359381529,0.046078230595945
2000-12-31,0.008925251022684998,0.0030109145652992,0.058840522699055,-0.19349315068492998,-1.3779045498817,-2.5112253178253,3.1853741496599,2.9473684210526003,-0.09761347200220401,-0.20760429501848002,0.69008587041374,0.11431339307338001,-0.017996610347177,0.40017825311943,-0.034225153253624005,0.046646284973132994,0.0069714438932833,0.47913736521330996,-0.19216061185468,0.031544634936354,0.025354969574037003,1.3190697674418999,-0.011142061281337,0.06785642266586,-0.15485512920907998
