Date,ODA/SLB_LE_Value,ODA/SLB_LP_Value,ODA/SLB_PPPGDP_Value,ODA/SLB_BCA_NGDPD_Value,ODA/SLB_TX_RPCH_Value,ODA/SLB_TXG_RPCH_Value,ODA/SLB_TM_RPCH_Value,ODA/SLB_TMG_RPCH_Value,ODA/SLB_GGXWDG_NGDP_Value,ODA/SLB_GGXWDN_NGDP_Value,ODA/SLB_GGXCNL_NGDP_Value,ODA/SLB_GGXONLB_NGDP_Value,ODA/SLB_GGR_NGDP_Value,ODA/SLB_GGX_NGDP_Value,ODA/SLB_NGSD_NGDP_Value,ODA/SLB_PPPEX_Value,ODA/SLB_PCPIPCH_Value,ODA/SLB_PCPIEPCH_Value,ODA/SLB_PCPI_Value,ODA/SLB_PCPIE_Value,ODA/SLB_PPPSH_Value,ODA/SLB_NID_NGDP_Value
1991-12-31,,0.034267912772586,0.097315436241611,0.31286313750807004,-3.0326241134752,-1.4000884173298,1.3076230154261999,-1.5169372463316,,,0.47353618000511,,0.29084253788852005,0.31125374411639,0.45793801391524,0.037988826815641995,0.72413793103448,,0.14998757352332,,0.0,0.26001107215353003
1992-12-31,,0.033132530120482,0.15290519877676,-0.8304751367631701,-0.5722260990928101,2.6589318600368,-0.51390650922221,-1.6670693039408002,,,-0.81537393718549,,-0.0068653300830804,-0.10825392681547001,0.55330802603037,0.10602798708288001,-0.28,,0.10798544825847,,0.0,-0.16080843585237
1993-12-31,,0.032069970845481,0.063660477453581,-0.098622189992748,-2.0883243999068,-2.288202134085,-3.7448303553503,-2.5333861475781,,,1.3374060150376001,,-0.090742874317487,-0.053671627226153,-0.0042942429214817,0.14306569343066,-0.14814814814815,,0.09199960989564698,,0.0,0.14101221640489
1994-12-31,,0.05649717514124299,0.10473815461347001,-1.1395816572808,-2.1184154175588996,-0.8450418066734399,-0.584040374488,-1.1615617388736998,,,-0.9477281865701601,,0.038564305980222,-0.024645527197731002,-0.1414446002805,0.16687952320135999,0.445,,0.13295227888421998,0.12939187252822998,0.0,-0.18828387886204
1995-12-31,,0.029411764705882002,0.12415349887133001,-57.953890489913995,1.6907907332949998,-8.6868381240545,-1.5179356426939,-1.7085427135678,,,2.7461538461538,,-0.19173540567064,-0.18166199714542,-0.12795066568651,0.071871579715432,-0.27696705280578005,-0.17461544407513,0.09611897942559801,0.10677763962547,0.0,-0.21650650084794
1996-12-31,,0.025974025974026,0.034136546184739,-0.62940849061377,0.047957876761064,-0.32893787312209005,2.2766932609065,-16.303675048356,,,-1.3798767967146,,-0.011222681630242,-0.03275088013953,-0.051140354985248,0.1140231449966,0.22482313774448998,-0.09917587563214099,0.11772743617404,0.096178095696632,0.0,0.1038961038961
1997-12-31,,-0.020253164556961998,0.0077669902912621,-0.42790824685964,-0.7011135252580101,-1.4279988268648,-1.5091436564265002,-1.3098247387934,,,-5.0702702702703,,-0.24329616354706002,-0.21347714295255,-1.2068012437688,0.083104185762298,-0.31495795464197995,0.06996569289947001,0.080641702054648,0.1029239521459,0.0,0.18736383442266
1998-12-31,,0.025839793281654,0.025048169556840003,-0.6859188544152701,-3.2780554293503,2.6857012334398997,-3.6981074481074,-5.711449551264599,,,-4.9588313413015,,-0.025569053988860002,-0.18332342701876997,-0.6859188544152701,0.08180535966149499,0.53192808431494,0.004858142246405,0.12354622315723,0.10342669675535,0.0,0.11247706422017999
1999-12-31,,0.01007556675063,0.0093984962406015,-3.3449848024316,-1.5870562425208998,-1.5942612791274,-0.15608854696986998,-0.49910528746248,,,-1.0519959745051999,,-0.099603924745702,0.048034934497817,-3.3449848024316,0.052151238591917,-0.35629299878591997,-0.34335718429703993,0.079525180618608,0.067901764999055,0.0,-0.041563582384958005
2000-12-31,,0.027431421446384,-0.12290502793296,-3.5972132209981003,-5.9821640903686,-5.4444676191469,0.20949146483153,0.29029098242581,,,23.954838709677,,-0.13246688327918,0.052728174603175,-3.5972132209981003,0.019826517967782,-0.12888218282409,0.19805625092034002,0.06928149493561099,0.081367279281599,0.0,0.11908449492341999
2001-12-31,,0.029126213592232997,-0.059447983014861996,-0.15358702432938,0.15782475281282,-0.42899713735979994,-0.54174979679302,-0.35234224981021,,,-0.7246639089969,-0.38610554442218,-0.022932872371075,-0.15082693304434,-0.15358702432938,0.099878493317132,0.10103926096997999,-0.20796460176991,0.07628506281849201,0.064440277405721,0.0,0.015685068429955
2002-12-31,,0.025943396226415002,-0.011286681715576,-0.33225235849057,-0.7846520804499499,-1.3938771317033,1.3001693138757,0.52113355857409,,,0.34084507042254003,-0.34711643090315997,-0.22338857109157997,-0.19004549994451,-0.33225235849057,0.10296067167477001,0.2278447823807,1.3840782122905002,0.09367002218051501,0.15362675465578,0.0,-0.25177895533687
2003-12-31,,0.025287356321839,0.084474885844749,-2.4626931567329,-3.5127854505675,0.9464788732394399,-0.8515896105716999,-0.9474638502334399,,,-5.2521008403361,-11.816666666666999,1.1681221049433999,0.54004247448106,-4.5843267108168,-0.0060096153846154,0.075912876361307,-0.7533684827182199,0.10076703068123,0.037885398487493,0.0,0.9447592067988699
2004-12-31,,0.026905829596412998,0.11157894736841999,1.53591910655,0.28727688289073,0.12697646995766002,-5.164147378365599,-12.956859361519001,-0.17698869931310002,-0.26265367800241,-0.11857707509880999,-0.017411402157165,0.21392546931914003,0.30373665480427003,0.58502186364476,0.038694074969769995,-0.31368462836162003,0.97967801530747,0.069161814552798,0.07500175155888701,0.0,-0.07054416814067199
