Date,ODA/NZL_LE_Value,ODA/NZL_LP_Value,ODA/NZL_PPPGDP_Value,ODA/NZL_BCA_NGDPD_Value,ODA/NZL_TX_RPCH_Value,ODA/NZL_TXG_RPCH_Value,ODA/NZL_TM_RPCH_Value,ODA/NZL_TMG_RPCH_Value,ODA/NZL_GGXWDG_NGDP_Value,ODA/NZL_GGXWDN_NGDP_Value,ODA/NZL_GGXCNL_NGDP_Value,ODA/NZL_GGXONLB_NGDP_Value,ODA/NZL_GGR_NGDP_Value,ODA/NZL_GGSB_NPGDP_Value,ODA/NZL_GGX_NGDP_Value,ODA/NZL_NGSD_NGDP_Value,ODA/NZL_PPPEX_Value,ODA/NZL_PCPIPCH_Value,ODA/NZL_PCPIEPCH_Value,ODA/NZL_PCPI_Value,ODA/NZL_PCPIE_Value,ODA/NZL_NGAP_NPGDP_Value,ODA/NZL_PPPSH_Value,ODA/NZL_NID_NGDP_Value,ODA/NZL_LUR_Value
1991-12-31,-0.01628664495114,0.026385224274406,0.019670909411833998,-0.15716814159292,1.0744462674323,1.0007789375292,-2.4540616246499,-2.2459294436906,0.044827467574913,0.057488472363614,1.3291792006876,-1.3661740558292,0.00011712344811436999,2.6032448377581,0.06881844636470699,-0.13869823838938,-0.03626595030221601,-0.57149893285175,-0.8036080360803599,0.026099588026576002,0.0095807100436786,-3.7968992248062,-0.03125,-0.20954103328607998,0.325
1992-12-31,0.0026490066225166,0.010568409025993,0.029504539159871005,0.5459890802184001,-0.64172021749876,-0.84575255002725,-2.5750337121942,-2.3032943098285,0.012298320711228,0.01617683145516,0.022140221402214003,-0.1644245142003,-0.012132568216418999,-0.18051575931232003,-0.0082510651563961,0.0090311441662794,-0.0034843205574914,-0.62337164750958,0.41440501043841,0.0098284945113603,0.013545055877776001,0.74889135254989,-0.096774193548387,0.086816720257235,0.0023584905660378
1993-12-31,0.020475561426683997,0.011588468061052,0.077233494002914,-0.08584623743547899,0.3416114790287,0.7960625946491701,-0.35114970645793,-0.16210570294548002,-0.069787109470295,-0.10346621094476,-0.7770758122743701,-7.1109123434705,-0.021243805865756,-1.3566433566434,-0.10903642231442999,0.17005593945376998,-0.0041958041958042,0.33265513733469004,-0.013284132841328001,0.013099683998851001,0.013364039219790999,-0.6443740095087199,0.029761904761905,0.13751706873009,-0.07764705882352901
1994-12-31,0.043365695792879994,0.013690975132718998,0.07828650711064901,-0.07310549777117402,1.1308103661045,1.300730747611,1.4556079170593998,0.96048366990775,-0.10273445695503,-0.087829438090502,-2.5886639676113,0.8079625292739999,-0.01005305104043,1.8431372549020002,-0.08493472891920499,0.1044490691265,-0.0035112359550561,0.3412213740458,1.170531039641,0.017569330233086003,0.029026926520212003,-1.5971479500891,0.023121387283237003,0.075576451758115,-0.14540816326531
1995-12-31,0.046526054590571,0.0151598676957,0.069225078006884,0.26098108368067,-0.5769305019305,-0.70681651600293,-0.31503799800415,-0.43377630825968,-0.11276305533905,-0.12383872799546002,0.78746177370031,0.20093911917098,0.010424313610336,0.33990147783251,-0.028788813489616,0.050926869016092995,-0.003523608174771,1.1320432555492,-0.027911784975878998,0.037452348574359,0.028208131169482994,1.3194029850746,0.011299435028249,0.044921875,-0.22985074626866
1996-12-31,0.032009484291642,0.015748031496063,0.059463281085472004,0.22120518688024,-0.16563997262149,1.2420833333333001,-0.17001008629385003,-0.046378439079169005,-0.14367601519776999,-0.16581546677727999,-0.29341317365269004,-0.21450721315896001,-0.06371694274920099,-0.325,-0.042372432775778,-0.068763326226013,0.0007072135785007901,-0.38814735718098997,-0.07196029776674902,0.022917248640866,0.026186756920941003,0.29214929214929,0.0,0.0076546506453049,-0.023255813953488
1997-12-31,0.0051694428489373,0.012563485699011001,0.042254121054649,0.09015198834061999,-0.0016406890894176,0.33785541720870005,-0.6581150418579499,-0.7126707489401801,-0.069836628965659,-0.082916368834882,-0.49313962873284994,-0.30192241675249,-0.043920229688834,-0.21840958605664,-0.013155349197137,-0.07951293125878099,-0.0084805653710247,-0.4777486910994799,-0.6749427043544699,0.011973909481446,0.0084991226030149,-0.38695219123506003,-0.016759776536312998,-0.043194064128609995,0.091269841269841
1998-12-31,-0.0062857142857142,0.0081837381203802,0.011306823599929,-0.48586707410237,-0.50671049027664,-0.89345742464231,-0.8554502369668199,-0.87991803278689,-0.0019025035844271,-0.08709207360466299,-1.2412420382166,-0.45832308827145,-0.019668316965614,-0.45087108013936994,0.023300753353684,-0.053705692803437004,0.0049893086243763,0.06432748538011701,-0.57579318448884,0.012745596645459,0.0036162763883357,-2.4614134849716,-0.022727272727273,-0.070439438700148,0.12363636363636
1999-12-31,0.015526164462334999,0.0054988216810683,0.061869418214637005,0.8398959881129301,3.4575235980011,4.8644067796609995,31.595628415301,49.959044368601,-0.07281969115168901,-0.12624819035599,1.9240924092409,-0.40807989105765,-0.039077160834529,-1.1218274111675,-0.022797558772818,-0.023119660672681,-0.0099290780141844,-1.1177394034537,0.32963988919668,-0.0015065334358187,0.0048043280729422,-0.67537520844914,0.011627906976744,0.04970702155129599,-0.087378640776699
2000-12-31,0.01925254813137,0.0059895833333334,0.06538120005074201,-0.33252574197456,-0.11958146487294,0.35904846598488005,-1.0124895222129,-1.0296698144799,-0.060781217412031,-0.077746622482794,-1.3194130925508,0.78527607361963,0.0094773118897185,-5.625,-0.023497451408727003,0.10341242661448,-0.0021489971346704,-18.593333333333,7.214583333333301,0.02639898181221,0.039425405635765,-0.96746575342466,-0.0057471264367816,0.031931501017077,-0.12765957446808998
