Date,ODA/HRV_LE_Value,ODA/HRV_LP_Value,ODA/HRV_PPPGDP_Value,ODA/HRV_BCA_NGDPD_Value,ODA/HRV_TX_RPCH_Value,ODA/HRV_TXG_RPCH_Value,ODA/HRV_TM_RPCH_Value,ODA/HRV_TMG_RPCH_Value,ODA/HRV_GGXWDG_NGDP_Value,ODA/HRV_GGXCNL_NGDP_Value,ODA/HRV_GGXONLB_NGDP_Value,ODA/HRV_GGR_NGDP_Value,ODA/HRV_GGSB_NPGDP_Value,ODA/HRV_GGX_NGDP_Value,ODA/HRV_NGSD_NGDP_Value,ODA/HRV_PPPEX_Value,ODA/HRV_PCPIPCH_Value,ODA/HRV_PCPIEPCH_Value,ODA/HRV_PCPI_Value,ODA/HRV_PCPIE_Value,ODA/HRV_PPPSH_Value,ODA/HRV_NID_NGDP_Value,ODA/HRV_LUR_Value
1992-12-31,,,,,,,,,,,,,,,,,,,,,,,0.15913063302683
1993-12-31,,-0.022410147991543,-0.05811438218845599,0.86274509803922,-1.0954095061155,-1.2093332301181998,-0.9983208149959899,-0.29933353529234,,,,,,,-0.64476990451576,14.297619047619,,,15.173190348524999,11.507128309572,-0.10084033613445,-0.99090748587571,-0.031338097423458
1994-12-31,,-0.021626297577855,0.081529197591374,-0.17688338493292,1.1572684246112,0.053867488443760006,-21.510563380282,-1.3901595399715,,,,,,,3.2489894907032997,1.072373540856,-0.93574078028488,-1.0026036031573,0.97496933328913,-0.029962546816479,0.028037383177569996,164.40776699028999,-0.019966159052452997
1995-12-31,,-0.015694076038904,0.088590221669774,-2.4809428284855,-0.59926032721118,-0.89034446458857,-1.9158798283262,-3.4131205673759,,,,,,,-0.49862062404871,0.033420953811491,-0.9798256410256401,-2.2493324432577,0.019674002450857,0.037434950478429,0.027272727272727,-0.034571814286553,0.0013812154696132
1996-12-31,,0.009207275993711999,0.077669671955658,-0.3157805621402,-2.5329266385109,0.16746666666667,-0.57513277100906,-0.62651542983101,,,,,,,0.48932738829333,0.019258720930233002,0.8515505846466701,-0.048891263692225,0.036415718683634,0.03559870550161799,0.017699115044248002,0.20014591439689003,-0.31365517241379
1997-12-31,,0.017356475300401,0.07165246567480499,2.0425637218509998,-0.22448979591837,0.022841480127912,2.6911764705882,2.032091479159,,,,,,,-0.030001910949742003,-0.09090909090909101,0.018396485447556,0.11039325842697,0.037089984909856,0.03953125,0.017391304347826,0.39432624113475,-0.0046221864951768
1998-12-31,,-0.015529308836395,0.036355771607481005,-0.44806832045546996,-0.087236842105263,-5.2778025904422,-1.1833067729084,-1.2600567721006002,,,,,,,0.13159968479117,0.072549019607843,0.80911296845511,0.49810270680496,0.06710062796752901,0.059221403877949996,0.0,-0.12737974131667,0.17474258025439002
1999-12-31,,0.011775161075317,0.0065788166080336,0.10300618921309,-1.0233530344529,-1.1287325120067,-0.15800912845034,-0.5478715109932899,,,,,,,-0.096680594243268,0.022303473491773,-0.40163934426229997,-0.34110097939885,0.040145828249917,0.039023698027529,-0.042735042735043,-0.040677824964610004,0.15364784738335
2000-12-31,,-0.037988581466842,0.065476660611326,-0.69151636606546,-57.524691358024995,-5.4817518248175,-1.4153329891585,-0.7611657182272801,,,,,,,0.15912887061544,0.18061516452073997,0.15267745952676998,0.41055868785238,0.046296296296295995,0.05503960666484599,-0.0089285714285714,-0.11670500412308,0.2127374301676
2001-12-31,,-0.017347637525679,0.060192735359525996,0.31355565179731,-0.095555312875396,0.25769091567137,5.2809198259789,-47.179783393502,,,,,,,0.076705647619575,0.018176310209027997,-0.18690579083838002,-0.57430959302326,0.037627105231922,0.023430420711973998,0.009009009009009002,0.10357704402516,-0.039985258890731006
2002-12-31,,0.0,0.064886029925885,1.3702604681833002,-0.86331803912099,-0.7808633093525199,0.37601424896101,-0.5511030503916601,,,,,,,-0.028002264889072002,0.019637012793811002,-0.55487642838161,-0.21169440887751,0.016739539376683998,0.018466987098406003,0.026785714285714003,0.16081923419412,-0.043634037108124996
2003-12-31,,0.00023228803716616,0.074720945502298,-0.16358325219085001,15.065371024735,5.3952724885095,-0.10103552423414,-0.35704085542127,0.018951485347827,0.34500426985482,0.7256027554535,-0.017960762641614,0.25073142188414,0.011472231198929,0.16888206323148,0.02042602859644,0.057910447761194,-0.079047103410937,0.017726551073218997,0.017014406358669,0.0086956521739131,0.077209266646211,-0.04442065828204401
2004-12-31,,0.0011611704598235,0.06990774682307001,-0.31498420089805,-0.7878587924777299,0.62125256673511,-0.6049116070714301,-0.86619718309859,0.062260103860917,-0.28063492063492,-0.4560878243513,-0.0019440323323272,-0.31181286549708004,-0.031995253200666,0.05586263138818401,0.010008578781813,0.14446952595937,0.60082304526749,0.020279814767046,0.027231652216387996,-0.0086206896551724,-0.023571301406445002,-0.035074208905069
2005-12-31,,0.00023196474135938998,0.07636083313109401,0.27822286962855,-0.13685847589425,-0.8116648723956701,-0.16217857865965,-3.9825910931174,0.013709548860195,-0.17534568990879998,-0.40795107033639,-0.011456250961095,-0.16485384092454,-0.024612773180564,-0.032653936923407,0.0014156285390713,0.6474358974359,0.34887991186191997,0.033408778984373,0.036733238231098,-0.0086956521739131,0.014112241549065001,-0.073133570340274
2006-12-31,,0.00046382189239327,0.081593676224834,0.26685660018992996,0.6525525525525501,2.7975790181574,0.9591590140164301,-3.691597665264,-0.07212874141636501,-0.36853371387799,-1.0237603305785001,-0.00036296699592948,-0.19454619454619002,-0.025282188867136002,0.030163236337827998,0.0090472151540854,-0.039209817419934,-0.4380615300844,0.032095716299498,0.020639834881320998,0.0,0.074937072995325,-0.12383561643836001
