Date,ODA/UZB_LE_Value,ODA/UZB_LP_Value,ODA/UZB_PPPGDP_Value,ODA/UZB_BCA_NGDPD_Value,ODA/UZB_TX_RPCH_Value,ODA/UZB_TXG_RPCH_Value,ODA/UZB_TM_RPCH_Value,ODA/UZB_TMG_RPCH_Value,ODA/UZB_GGXWDG_NGDP_Value,ODA/UZB_GGXCNL_NGDP_Value,ODA/UZB_GGXONLB_NGDP_Value,ODA/UZB_GGR_NGDP_Value,ODA/UZB_GGX_NGDP_Value,ODA/UZB_NGSD_NGDP_Value,ODA/UZB_PPPEX_Value,ODA/UZB_PCPIPCH_Value,ODA/UZB_PCPIEPCH_Value,ODA/UZB_PCPI_Value,ODA/UZB_PCPIE_Value,ODA/UZB_PPPSH_Value,ODA/UZB_NID_NGDP_Value
1993-12-31,,0.023080524344569003,-0.00021176346021482,0.20219978906132002,-2.3191366651139,-2.2576384166936,-2.3882372815908997,-2.2863869036121,,-7.7857789855072,-7.7857789855072,0.09814062698312,0.69209772075884,-0.84274624963008,10.25,,,5.3290598290597995,8.8581730769231,-0.050420168067227,-0.6653691183500601
1994-12-31,,0.019631171921475,-0.031824199099815,-1.2267201403685,-1.0128052061613,-1.030888817982,-1.1510786989552,-1.1959006700828,,-0.6257758793299101,-0.6257758793299101,-0.18024213354907997,-0.31484916922084005,1.898812970469,12.140740740741,1.9359635328915,0.44829573838527004,15.688723835246,12.812972445745,-0.079646017699115,0.23809523809524
1995-12-31,,0.018310744098375,0.011649529643403999,-1.1088999447208001,-13.40906106369,-5.9974175035868,-2.4118290086876,-1.9095046469292,,-0.31460674157303004,-0.33226324237559995,0.22008388847767002,0.13185002060157,0.19815230961298,3.6138669673055,-0.80578295553304,-0.90876024054452,3.0459621297945,1.1691704768125,-0.03846153846153799,0.32967032967033
1996-12-31,,0.019391802556192002,0.035573336216684,34.730964467005,-0.95195512990105,-1.1165594855304999,0.32177350340275,0.74184882802212,,1.0468384074941,1.1009615384615,0.21285569839665,0.29619324977898,-0.33509773683990995,0.78289554062309,-0.82284461107627,-0.44940427824866996,0.53961,0.64374130227789,-0.02,-0.049586776859504
1997-12-31,,0.03186338089061799,0.070007830853563,-0.43585736610314,-7.689427312775299,-1.4339901477833,-1.631200863265,-1.6019837309867,,-0.72400203407068,-0.7697686244597,-0.11064002096087,-0.20742642781199,-0.06418855387701401,0.63297471390393,0.31311502751988,-0.21976263708951,0.70856255805042,0.50227252473042,0.010204081632653,-0.17826086956522
1998-12-31,,0.015251183642687,0.054400858704137,-0.8282548476454301,-0.60964767863023,-6.4540295119183,-0.11688565427636,-0.082031446224946,,0.7452786734223901,0.71452236333517,0.07740103915582,0.11410058467691,0.3542769107107,0.37490558120017,-0.59099312700227,-0.48095645768212,0.28981342092058004,0.2607027743173,0.010101010101010001,0.10582010582010999
1999-12-31,,0.014526845776071998,0.058974596270418,0.40322580645160994,0.20877266975960002,-0.33111342351717,-0.77444690265487,-0.5119295173470501,-0.00085091899251186,-0.20190023752969,-0.21900161030596,-0.042259122998906,-0.056001090487766,-0.20155307152043,0.4194542790868,0.0042096546012905,-0.0038358266206368,0.29102414467945004,0.25969989281886,0.01,-0.18181818181818002
2000-12-31,,0.013220518244315001,0.061611063774005,-2.8672936259143,-1.5369853454292,-0.3170504044804,-0.88033349681216,-0.84146204731472,0.43505365355135,-0.17526455026455,-0.20123711340206002,-0.050093438538206,-0.059202926453599994,0.32484668277272,0.44062184187327,-0.1407758650311,0.08517520215633399,0.25006563492371997,0.28181699327416,-0.0099009900990099,0.14619883040936
2001-12-31,,0.012164766340132,0.06575291720689,-1.547285954113,10.943469785575,-8.6546697038724,-18.405737704918,-6.7475247524752,0.40946208992071004,-0.45108259823577,-0.5477542591636599,-0.06358270943767401,-0.088304512432211,-0.059148080609716,0.41957342646905,0.08977845317123899,-0.060286707827691,0.27250828668742,0.26483106757135,0.02,0.076530612244898
2002-12-31,,0.012375550355004,0.05596107055961099,-2.2300613496932997,-1.5360426527392,-1.6822402094989,-2.2942076760066,-2.8528362249292005,-0.080454736842105,0.3791088385683,0.7305936073059399,0.035627790259986,0.04882154882154901,0.11335851307027,0.4324571548733,0.001467836042714,-0.18600611713174,0.27290640818276996,0.21557192813586,0.0098039215686275,0.0047393364928909
2003-12-31,,0.010931316851467,0.062778874990857,3.8179551122195,-1.9099766568558,-1.6526214777981,-1.3993450377513001,-0.95045822818435,-0.23740796366167002,-1.1202330508475,-1.3575197889181998,-0.058153950185957,-0.11182450508292999,0.18716243360264004,0.24247473227589,-0.5760140705727199,-0.63877162870529,0.11571396841038,0.077874583538668,0.0,-0.018867924528301997
2004-12-31,,0.012169599255871999,0.10353252920832001,0.23567977915804003,0.9018514387686801,1.8195428418661002,3.0571753986333,-28.292225201072,-0.15647516572196998,1.647577092511,0.59040590405904,-0.03754337680986,-0.049066265060241,0.19047977139419,0.12938042014225,-0.42986777288048,0.16733016566072,0.065975253848144,0.09090456154267698,0.019417475728154998,0.17788461538461997
2005-12-31,,0.011180885281053998,0.10442199145539001,0.073582798101089,-1.2515833919775001,-1.2486132840279,-0.65594295659985,-0.71414538310413,-0.19726089803820998,1.0798668885190998,0.7262180974478001,-0.043545830354645,-0.064869658864148,0.12718716442423,0.17591028209460002,0.5225102319236,0.35698569856986,0.10044034488152001,0.12335460183133,0.019047619047619,0.14285714285714002
