Date,ODA/ETH_LE_Value,ODA/ETH_LP_Value,ODA/ETH_PPPGDP_Value,ODA/ETH_BCA_NGDPD_Value,ODA/ETH_TX_RPCH_Value,ODA/ETH_TXG_RPCH_Value,ODA/ETH_TM_RPCH_Value,ODA/ETH_TMG_RPCH_Value,ODA/ETH_GGXWDG_NGDP_Value,ODA/ETH_GGXWDN_NGDP_Value,ODA/ETH_GGXCNL_NGDP_Value,ODA/ETH_GGXONLB_NGDP_Value,ODA/ETH_GGR_NGDP_Value,ODA/ETH_GGX_NGDP_Value,ODA/ETH_NGSD_NGDP_Value,ODA/ETH_PPPEX_Value,ODA/ETH_PCPIPCH_Value,ODA/ETH_PCPIEPCH_Value,ODA/ETH_PCPI_Value,ODA/ETH_PCPIE_Value,ODA/ETH_PPPSH_Value,ODA/ETH_NID_NGDP_Value
1991-12-31,,0.034465637800487996,-0.041302259744198995,-1.3173400673401001,-1.5216310855076998,-1.5216310855076998,-1.4014609726194998,-1.4014609726194998,,,-0.12538676882275,-0.15123770769751999,-0.19127734854502,-0.16960651289009002,-0.30771342300302,0.15301391035549,3.0086438724549,7.9902097902098,0.20868552613087,0.44996644772963,-0.093333333333333,-0.16606809366470002
1992-12-31,,0.034637229021678005,-0.068340012655558,-2.1034482758621,1.0463837158943001,1.0463837158943001,-2.6452474869576,-2.6452474869576,,,-0.17958221024259002,-0.23272073511785998,-0.17732142857143,-0.17810457516339998,0.32375099127676005,0.13270777479892998,0.0071876946667305,-0.9543737221086299,0.21019584392285998,0.020531519528785,-0.19117647058824,-0.08001722652885401
1993-12-31,,0.034231482913252,0.1606293864614,-0.33052884615385,-2.4966455736387,-2.4966455736387,-0.73008507347254,-0.73008507347254,0.60302575226653,0.6030216850337701,-0.16262833675565,-0.29888049986983,0.036357716518342,-0.032448168134053,0.14197993110678,0.10532544378697999,-0.5247157333840801,1.2961519727228001,0.099897055795759,0.047135456032101,0.12727272727273,0.54695253253441
1994-12-31,,0.033191918814361,0.056861406417634,-3.8204667863555004,-0.77275941061682,-0.77275941061682,3.2386819484241003,3.2386819484241003,0.10073974351857001,0.10074734437717998,0.30676802354095,0.10508726327516,0.26809089957064003,0.27959198649739003,0.23304918032786998,0.0048179871520342,-0.88328328328328,0.33495969452693997,0.011668101780788998,0.062940458536201,0.0,0.065908128063911
1995-12-31,,0.031745744623121,0.083379475821336,-0.69700827498409,-0.085065339141257,-0.085065339141257,-1.6743054147232,-1.6743054147232,-0.055326848273558,-0.055329465173127,-0.48827172077312997,-0.6626344086021501,0.19555702370138,-0.013362390319436002,0.46139119336310996,0.10442194992008999,10.452830188679,1.3573812172255,0.13354221147679,0.14835483671832,0.016129032258065,-0.29298205768794
1996-12-31,,0.030190399382867994,0.15222113377912,0.92857142857143,-0.01652723933891,-0.01652723933891,-0.7017543859649101,-0.7017543859649101,-0.094017151056091,-0.09401502818673599,0.42500916758342994,1.1952191235060001,0.015610969123436999,0.080504533829342,-0.09315866084425001,-0.022190062711047,-0.9311816684139599,-1.6066059993258999,0.0091844951792282,-0.089989356097666,0.095238095238095,0.4180854481207801
1997-12-31,,0.028931245745405,0.053154918123683,-1.5010893246186998,1.4993084370678003,1.4993084370678003,5.1926050420168,5.1926050420168,-0.39955950706041,-0.39955588336838,-0.55378281008749,-0.9469147005444599,0.081411956743522,-0.051374468771854004,-0.17953451043339003,-0.016280217069561002,-7.9858541893362,-1.2889209912211999,-0.064202376587806,0.026003946078142003,-0.014492753623188,-0.235360743006
1998-12-31,,0.027935825339067,-0.030044575479976004,8.1195652173913,-1.2692861095738999,-1.2692861095738999,-0.46496227541659996,-0.46496227541659996,0.11077851657383998,0.11076408400089,1.062860438293,16.495726495726,0.079182389937107,0.17591017352841,0.24836153770909,-0.0085255767301905,-1.5607476635514,-0.11538461538462,0.035997418879056,0.022995785449437,-0.058823529411765,0.13449859280107002
1999-12-31,,0.027353617918229,0.076641939569387,0.42526817640048,-0.86004932182491,-0.86004932182491,0.8659835649791999,0.8659835649791999,0.09586499381516199,0.09587171613783699,1.4131954151523998,2.3825109916952,0.031295530042543,0.26967592592593,-0.40957530167684997,-0.0020232675771371,0.32555555555556,4.33,0.047715442452284006,0.12259255507153001,0.03125,0.00058754406580496
2000-12-31,,0.027079515732431003,0.083386549255537,-1.027763840107,-16.081497797357,-16.081497797357,-1.9730332191595,-1.9730332191595,-0.0066113037168428,-0.0066131317902692,0.048076923076922996,0.060803004043905,-0.0375226039783,-0.0094576116681859,1.2472461844725,0.035985808413582995,0.2906538139145,-0.9778937923158499,0.061593664409011,0.0027073097362879,0.0,0.32981013897044
2001-12-31,,0.026319802372747003,0.09865359558230401,-28.861445783133,-0.82897619395356,-0.82897619395356,-1.0285522713304,-0.8802033860423499,0.020320996672348,0.020317295638266,-0.57665524483254,-0.6969366916269599,0.11707374354157,-0.12358602707159,0.11970708084805001,-0.07045009784735799,-2.3375547978567996,-16.867158671587,-0.08238,-0.043,0.060606060606060996,0.056226081836915
2002-12-31,,0.025808272910971,0.031936522279325,-0.6166486486486501,0.64218616567037,0.64218616567037,2.1369863013699,-0.17397388059702,0.16389416432172,0.16389865695039002,0.5331592689294999,0.95238095238095,0.022916009670977,0.10837416870844001,-0.17463080168776002,-0.051578947368420995,-1.2007768875941,-4.2562790697674,0.016542795492688,0.14002089864158998,-0.014285714285713997,0.060850984764028
