Date,ODA/SEN_LE_Value,ODA/SEN_LP_Value,ODA/SEN_PPPGDP_Value,ODA/SEN_BCA_NGDPD_Value,ODA/SEN_TX_RPCH_Value,ODA/SEN_TXG_RPCH_Value,ODA/SEN_TM_RPCH_Value,ODA/SEN_TMG_RPCH_Value,ODA/SEN_GGXWDG_NGDP_Value,ODA/SEN_GGXCNL_NGDP_Value,ODA/SEN_GGXONLB_NGDP_Value,ODA/SEN_GGR_NGDP_Value,ODA/SEN_GGX_NGDP_Value,ODA/SEN_NGSD_NGDP_Value,ODA/SEN_PPPEX_Value,ODA/SEN_PCPIPCH_Value,ODA/SEN_PCPIEPCH_Value,ODA/SEN_PCPI_Value,ODA/SEN_PCPIE_Value,ODA/SEN_PPPSH_Value,ODA/SEN_NID_NGDP_Value
1991-12-31,,0.028398632658427996,0.05961367673179401,0.032419915090699,-0.3555900621118,0.048891896464219,-0.94204685573366,-0.56588375796178,,,,,,0.97657393850659,-0.039220792749622,-6.3969230769231,-0.21012101210120998,-0.017541262674858,-0.0071660356949702,0.0,0.15674876847291
1992-12-31,,0.027614420864229,0.035515976951282995,-0.0087227414330218,-1.801124497992,-1.7780645161289999,-0.61879432624113,-8.7657038055938,,,,,,0.78703703703704,-0.031376871830087,-0.99600912200684,-0.3091922005571,-5.6501431369463e-05,-0.0049609929767904,-0.08823529411764698,0.006217528319564001
1993-12-31,,0.026872356307538998,0.037130716309186004,0.10320553111251,0.5079205935432101,0.25352404643448995,-21.279069767442,-0.8003188286001099,,,,,,-0.42217616580311,-0.024501725692609,105.28571428570999,-2.0040322580645,-0.0074397754882942,0.0049857271340868,0.0,-0.098188589808702
1994-12-31,,0.026532590259268,0.02107111501317,-0.46809480401093995,-0.9609042553191501,-1.6194807342484001,1.6894495412844,1.54021289178,,,,,,1.8159971305595,0.31100627928474,-44.150537634409,74.379518072289,0.32103685149342,0.37538180191047,-0.032258064516129,0.076684813215694
1995-12-31,,0.026200873362444997,0.075666380051591,0.032347900599829,-42.904761904762005,2.6916711158568996,-1.5372676104383,-1.7049237574206,,,,,,0.21831613807157996,0.051747864099858,-0.74844256167456,-0.85321931857535,0.08075729717306401,0.055095054882879003,0.0,0.17470142097463
1996-12-31,,0.026106958021852002,0.03872457589484,-0.18261050010376004,-2.1011363636364,-1.1465760358666999,-2.35,-0.70459048877147,,,,,,0.09430214323052802,0.024466811223664,-0.65861812778603,-0.5584392014519101,0.027565857678301005,0.024332694292877006,0.0,-0.0094248608534322
1997-12-31,,0.025778973324367,0.048909790508764005,0.0058390454430059,-1.1591478696742,1.1943759250123,-1.1748383303938998,-0.95528228060369,,,,,,0.25986433553072,0.0033260374122797,-0.36416394631846005,-0.20632963419647002,0.017526386589404,0.019304766641363,-0.03333333333333299,0.10593347317949998
1998-12-31,,0.025458916083916,0.070432868672047,-0.02246340232206,5.674849467345999,-4.1398381294963995,12.777404169469,222.7625,,,,,,0.024493819670887994,0.01653007799498,-0.44095835710211,-0.5339202485758701,0.0098008059287884,0.0090009116472566,0.03448275862069,0.07695434223005
1999-12-31,,0.025253063399041,0.07981113395781,0.24038213271366,-0.5979460134619399,-0.3413289417155901,-0.74046956606629,-0.50321211105525,,,,,,0.09059955588453,-0.011588649406851002,-0.17244897959184,-0.46222222222222,0.008106951333115,0.0048357130131584,0.03333333333333299,0.159265316392
2000-12-31,,0.024942839326543,0.05543409267226201,0.45482930890924,-2.6161546427338997,-2.3157951951299,-1.6338160616889,-1.5092769594063002,,,,,,-0.085652232930637,-0.0033217237149585,-0.077681874229347,1.7830578512397,0.0074923203716192,0.013474835997062,0.0,0.11020075963103998
2001-12-31,,0.026059622794564998,0.069629134647511,-0.27900987265703003,-1.3310551046561,-1.2571877065433,-1.6178041543027,-1.4431441819386002,-0.037845390051681,-3.6974885844749,-1.6779964221825001,-0.011490584104692,0.16874058367279002,-0.008981591448931,0.0032744030614995,3.081550802139,2.007423904974,0.030527255149847,0.040511833654062,0.0,-0.10121694931822
2002-12-31,,0.026781302500247,0.021990379209096,0.19845207382417002,1.6912903225806002,1.4734982332155002,5.441882804995201,6.2700548081714,-0.041674303196063994,-0.68768514600085,-1.2196569920843998,0.051931977182219,-0.031558844592982006,-0.16583027488578,0.017379625277013002,-0.21454307238782,-0.63367069859294,0.023982199771483997,0.014843637411731002,0.0,-0.066014138118543
2003-12-31,,0.027333974975938,0.088147197261446,0.054148037754595,1.1809900515401999,1.6064935064935,0.6903519236504599,0.73613871564663,-0.19527767561604,1.3875338753388,-2.9309309309309,0.023788816698214997,0.073456911851706,0.42857142857143,-0.014526044348219998,-1.0200166805671,-2.0026954177898,-0.00048156544004507003,-0.014875035501278002,0.032258064516129,0.29692594317653004
2004-12-31,,0.027543563799888,0.087804055951913,0.079170593779453,-0.26390415475929,-0.27254608868958996,-0.21362092541132,-0.21885362387494,-0.12997934224236998,0.32973893303065,0.93157076205288,0.018538876673996,0.043675943786167,-0.07259585166561901,-0.021598956891393,-11.729166666666998,-2.1485215053763,0.0051352558226985,0.01709370908261,0.0,-0.029224277249057004
2005-12-31,,0.027625820568927997,0.090115678578806,0.28850072780204,-0.8027474988801,-1.1251369863014,-0.6007964998878199,-0.71447341823327,-0.040490849110126,0.18907383696116,0.52657004830918,0.02089976941569,0.038283828382837996,0.059640799728905,-0.0070239013459055,2.3145631067961,-0.16793446459918,0.017080727187701,0.014219912601866001,0.0,0.13230057803468
