Date,ODA/SVN_LE_Value,ODA/SVN_LP_Value,ODA/SVN_PPPGDP_Value,ODA/SVN_BCA_NGDPD_Value,ODA/SVN_TX_RPCH_Value,ODA/SVN_TXG_RPCH_Value,ODA/SVN_TM_RPCH_Value,ODA/SVN_TMG_RPCH_Value,ODA/SVN_GGXWDG_NGDP_Value,ODA/SVN_GGXCNL_NGDP_Value,ODA/SVN_GGXONLB_NGDP_Value,ODA/SVN_GGR_NGDP_Value,ODA/SVN_GGSB_NPGDP_Value,ODA/SVN_GGX_NGDP_Value,ODA/SVN_NGSD_NGDP_Value,ODA/SVN_PPPEX_Value,ODA/SVN_PCPIPCH_Value,ODA/SVN_PCPIEPCH_Value,ODA/SVN_PCPI_Value,ODA/SVN_PCPIE_Value,ODA/SVN_NGAP_NPGDP_Value,ODA/SVN_PPPSH_Value,ODA/SVN_NID_NGDP_Value,ODA/SVN_LUR_Value
1993-12-31,-0.035051546391752,-0.005,0.052446289944033,-0.69945258696804,,,,,,,,,,,0.028176675369887,0.14827586206897,,,0.31928408492718,0.22687609075044,,0.0,0.26471196964471,0.09635017866258301
1994-12-31,-0.012820512820513002,0.0,0.075435286045115,1.448883666275,11.8,-3.8666666666667004,-0.23809523809524,-0.30682926829268004,,,,,,,0.329488942969,0.078078078078078,-0.35029752583777,-0.14201965883545997,0.20745883542149,0.19463383528719,,0.014285714285713997,0.20325114553785997,-0.010941683156792
1995-12-31,-0.0021645021645022,0.0,0.06268692427323799,-1.3483685220729,-0.9296875,-0.65116279069767,-0.15625,-0.075299085151302,,,,,,,-0.07274174293672901,0.10027855153203,-0.34172089660159,-0.53963524274339,0.13656591469863003,0.08961198932457401,,0.014084507042254,0.13704778311724,-0.17617982817465
1996-12-31,-0.019522776572668,-0.0015075376884422,0.054936395361927,-0.1370523415978,2.05,-0.19366666666667004,-0.80981481481481,-0.85707762557078,0.19945159752026997,6.8611111111111,0.41835518474373995,-0.015820632321451002,,-0.022063087823697,0.0078534031413612,0.09367088607594899,-0.27965729349735996,0.022095748242384,0.098350487488128,0.09160621761658,-1.1527777777778,0.0,-0.013715561580478998,-0.015428571428571002
1997-12-31,-0.017699115044248002,-0.0010065425264217,0.069149503788283,-0.22745411013567002,3.2386156648452,5.0351384869780995,4.6913339824732,6.135250266240701,0.02887386939668,-4.6360424028269005,-1.1084033613445001,-0.018865026748919,-6.3503649635035995,0.014799917491748998,0.06186927826272099,0.064814814814815,-0.15035071668192002,-0.046511627906977,0.083578928792023,0.08731898441410499,45.863636363636,0.0,0.047216719893277,0.0036273940800928
1998-12-31,-0.0011261261261261,-0.0035264483627205,0.044049639019197,0.9938016528925601,-0.32780403953588,-0.26289471881635995,-0.13952095808383,-0.19664179104478002,0.026372989421822996,-0.32361516034985,-3.0697674418605,0.029689538220715,-0.48090040927694,0.020478682859902,0.0018846739914989,0.06304347826086901,-0.053840631730079,-0.26062063437536,0.079086659826387,0.06455965458124299,-0.8516003879728399,0.013888888888889,0.03898861223701999,0.06505710568165401
1999-12-31,0.014656144306652002,0.0,0.06886332494184401,1.5404145077720002,-0.74363892085411,-0.6374872223771,-0.16403220996123,-0.16813748258244,0.036095816273707004,-0.1882183908046,0.88014981273408,0.012440458092632,0.32063074901445,0.0089632506722438,-0.041344806884129996,0.04907975460122701,-0.22192716236722,0.23710701564194,0.061533121028720994,0.07989502408183399,5.647058823529401,0.013698630136986,0.07207876648708901,-0.0023075878919506
2000-12-31,0.015555555555556003,0.0050556117290192,0.06523164987180201,-0.37324087293494,5.280299251870299,2.6249679569341002,-0.21262932572244,-0.24969290898939003,0.31772347383721,1.1380530973451,-1.1673306772908,-0.0091093370704974,0.25671641791045,0.0068848090020728,0.062458249832999,0.031189083820662995,0.44303591743865006,0.11467200801202002,0.08879062757699,0.08903494842656098,-0.87413962635202,0.0,-0.011575116964131,-0.082721088435374
2001-12-31,0.0065645514223195,0.0010060362173038,0.052980688497060995,-1.0745200130166,-0.4295584498094,-0.48978148645782,-0.45295272617428994,-0.43399315374312,-0.016200751439109,0.032284768211921,-1.2738095238095,0.020785452708675,-0.34045922406968,0.021125897605568003,0.04546526249607,0.062381852551985,-0.05146976010812,-0.20889487870620002,0.084226746235913,0.07044592932584401,-8.4609375,0.0,-0.075207741664037,-0.081578166716108
2002-12-31,0.015217391304348,0.0020100502512563,0.054301889801450995,3.8427947598253,0.083530558262564,0.18669438669439004,0.55300938707896,0.37049697607152,-0.0050804106373287,0.13953488372093,-4.869565217391299,-0.015735563362857998,0.26170468187275,-0.011112444497780002,-0.0055252772035332,0.060498220640569006,-0.11363096651627,0.017603634298694,0.07464861674836501,0.071673082617708,-0.10052356020942001,0.013513513513513998,-0.038898999090082,0.02422480620155
2003-12-31,-0.0032119914346895,0.00050150451354068,0.048908385014874003,-1.6239855725878998,-0.59398689451368,-0.51786965662228,0.14933333333333,0.3561013046815,-0.047612339766164004,-0.10204081632653,-0.8876404494382,0.012442813332662998,-0.48715509039009997,0.0085190039318479,-0.027553103031219,0.035234899328859,-0.25344943067649,-0.35756138392857,0.055723043473388,0.046056412750342994,0.9627473806751999,-0.013333333333333,0.042287968441815,0.056449069694102995
