Date,ODA/UGA_LE_Value,ODA/UGA_LP_Value,ODA/UGA_PPPGDP_Value,ODA/UGA_BCA_NGDPD_Value,ODA/UGA_TX_RPCH_Value,ODA/UGA_TXG_RPCH_Value,ODA/UGA_TM_RPCH_Value,ODA/UGA_TMG_RPCH_Value,ODA/UGA_GGXWDG_NGDP_Value,ODA/UGA_GGXCNL_NGDP_Value,ODA/UGA_GGXONLB_NGDP_Value,ODA/UGA_GGR_NGDP_Value,ODA/UGA_GGX_NGDP_Value,ODA/UGA_NGSD_NGDP_Value,ODA/UGA_PPPEX_Value,ODA/UGA_PCPIPCH_Value,ODA/UGA_PCPIEPCH_Value,ODA/UGA_PCPI_Value,ODA/UGA_PCPIE_Value,ODA/UGA_PPPSH_Value,ODA/UGA_NID_NGDP_Value
1991-12-31,,0.03556997325138,0.051571491810535997,0.88991657598839,-8.545211581291799,-0.19244635193133,0.19088528025144,-3.7860271115746005,,,,,,-0.27359180687637,0.14213125025148002,-0.54143171806167,0.20270119432972,0.20816213471216,0.32321269532831,0.0,0.29443819738777
1992-12-31,,0.034732908331501,0.051252367922543,-0.54207849534594,0.23732215597142997,0.57454648526077,-1.2498460455705,-0.9017890560670699,,,,,,1.5999496475327,0.42843482637140995,2.1850713290744,1.0513534416087,0.66312571646924,0.6631279446858,-0.08823529411764698,0.049315068493150996
1993-12-31,,0.033938814531549004,0.10821904094504,0.6994970662196099,-0.63571735292714,-1.0645364536454,-0.6105633802816899,-2.625,,,,,,-0.37639198218263,0.26950639467287,-0.64670487106017,-1.0355602473232,0.2342615568422,-0.023583083460569,0.064516129032258,-0.03629879640833
1994-12-31,,0.033132994298043,0.086901535682023,-0.95450061652281,1.2855271774722,-17.873779637378,-3.877938517179,6.780487804878,,,,,,1.1504658385093,0.04207602047046499,-0.8894438041575999,-4.2472434266327,0.025893521965747998,0.076583959758096,0.03030303030303,-0.022533535980968997
1995-12-31,,0.032468178202069,0.13613696808511,2.9512195121951,0.77174785100287,0.25994958052651,-23.73766886585,-0.7655534121051399,,,,,,-0.26312369124123997,0.08577173522244601,2.7181467181467003,0.4970615123416501,0.096314710311916,0.11462270754585,0.08823529411764698,-0.17009194159004998
1996-12-31,,0.031639778473393,0.11089978054133,3.4883401920439,-0.00019406798848531001,0.00052481385508583,-0.6421228618012,8.0997685780406,,,,,,0.22283194512494,0.03088613680459,-0.13966770508826998,-0.52604030358545,0.08283818004270199,0.054322228153358,0.054054054054054,0.60117302052786
1997-12-31,,0.03104285314163,0.072764388252338,-0.41962102689487,0.07136618032415598,0.19886568534243,-1.2826531794139,-1.3567492723728,,,,,,0.060261238881321,0.01337194223892,-0.034520217260109,0.92030185900976,0.079985937882123,0.10432736694761001,0.0,-0.10175010175010002
1998-12-31,,0.030832616471227002,0.04935240316739299,0.8475513428120101,-1.9407856991877,-2.0322951133474,-2.6514137412922003,-2.3800396039604,-0.018602566257634,0.6328125,0.35021097046412997,0.010241032024443,-0.033167897348989,-0.38742347517194003,0.11175784157426,-0.8906113264158,-1.227547205981,0.0087606323506517,-0.023732470334412004,0.025641025641026004,-0.11067059356593
1999-12-31,,0.031008432888264,0.09815735595203301,0.25324212626479,-1.9708884324047,-2.0606622516556,-0.12208436724565999,0.14825231016472,0.099229232086783,-0.60393407761829,-0.41840277777778,0.030635676281153996,0.10535870790033999,0.15397902529302998,-0.014525840494529,5.5817142857143,-4.5610783487784,0.057578988719905994,0.084544198895028,0.025,0.20086613170297002
2000-12-31,,0.031481639260457994,0.078357215149417,0.11530589037979999,-0.87807861416906,-0.9119130869130899,-1.4083286225740002,0.45041487553734005,0.06875119029069099,-2.0644295302013003,-0.85850746268657,0.0092381262906205,0.09673217420852902,-0.019031326847001,0.061833643005167006,-0.41274526827574,-0.50106458481192,0.033815335632794,0.042167063588084995,0.024390243902439,0.006788290199406
2001-12-31,,0.031842398711436,0.11242837383916,-0.04690048939641099,6.339750542299299,6.6747944428693,-3.1010613751731,-0.68618396112624,0.027928073870079,0.5485498108448901,-1.4683544303797,0.012115011845789,0.034082106893881,0.034550408719346004,-0.0023532925913667,-0.43169722057953996,-2.0488383119962,0.019222625723415,-0.044236973311174,0.047619047619047006,-0.0075853350189634
2002-12-31,,0.032420749279539,0.087033747779751,-0.30669661959777,-0.82958365658133,-0.82958365658133,-0.34471776850428,-0.34471776850428,0.089119677246509,1.1270358306189,10.504504504505,-0.012608394956642,0.057278401997502996,0.38685208596713,-0.0091683356598086,-1.1560874089489999,-2.2933996383363,-0.0029964621602228,0.057216283946196995,0.045454545454545005,0.042675159235669
2003-12-31,,0.032875862603706,0.08276143790849701,-0.32834439129764004,-0.6241057879904599,-0.6241057879904599,-0.8716272833919899,-0.8716272833919899,-0.012545399296763002,-0.5409647779479301,-1.3132341425215,0.03292025862069,-0.037880219157378,0.24194773625038002,0.066352510729351,-30.033333333333,0.03233135267389,0.087095429920822,0.05906611680191599,0.021739130434783,0.053909590714722
2004-12-31,,0.033030553261767,0.08711235192032,-0.18102458074891,13.160322952710002,13.160322952710002,10.063968668407,10.063968668407,-0.085636411594033,-1.3636363636363997,4.1775,0.05925616817067401,-0.024545900834561,0.11101596427916,0.014746992011886001,-0.57910447761194,0.35500253936007997,0.0366610134052,0.08003791209418598,0.0,0.04955803506738201
