Date,ODA/MDG_LE_Value,ODA/MDG_LP_Value,ODA/MDG_PPPGDP_Value,ODA/MDG_BCA_NGDPD_Value,ODA/MDG_TX_RPCH_Value,ODA/MDG_TXG_RPCH_Value,ODA/MDG_TM_RPCH_Value,ODA/MDG_TMG_RPCH_Value,ODA/MDG_GGXWDG_NGDP_Value,ODA/MDG_GGXCNL_NGDP_Value,ODA/MDG_GGXONLB_NGDP_Value,ODA/MDG_GGR_NGDP_Value,ODA/MDG_GGX_NGDP_Value,ODA/MDG_NGSD_NGDP_Value,ODA/MDG_PPPEX_Value,ODA/MDG_PCPIPCH_Value,ODA/MDG_PCPIEPCH_Value,ODA/MDG_PCPI_Value,ODA/MDG_PCPIE_Value,ODA/MDG_PPPSH_Value,ODA/MDG_NID_NGDP_Value
1991-12-31,,0.029560017086715,-0.03189831898319,-0.0019769740667519,8.013687600644099,8.0144927536232,-0.6067130577159201,-0.60663119115841,0.13747893952010998,7.8943894389439,-4.7245575221239005,-0.32643733461631,-0.037367993501219,-0.7176952748312401,0.10241841491841,-0.27987182730415994,-0.15300151701221,0.085377379720059,0.11723182192196001,-0.08695652173913,-0.2873532190579
1992-12-31,,0.029707078250767998,0.03489750974081,-0.23246329526917003,-2.7757927646271003,-2.7756341550554002,-1.0341382181515,-1.0339229968783,-0.024150435848543,0.15751391465676998,-0.16513216513217002,0.25357142857143,0.22236286919831,2.33390264731,0.099919506950034,0.70573770491803,0.37091684434968003,0.14571239011445,0.16074889526320002,-0.095238095238095,0.06969696969697001
1993-12-31,,0.030058828269803998,0.045261090194795,0.16289661454379997,-1.2553319919517,-1.2553822937626,-113.96341463415001,-114.66257668712,-0.07726261612945401,0.23545439974354998,0.31768054073284,-0.06509971509971499,0.027368213422753,-0.069159836065574,0.10340345588396,-0.31420333630809,-0.48637551325121,0.099891422366992,0.08255134413090699,0.0,0.013456090651557999
1994-12-31,,0.030120481927711003,0.020906741836974,0.21488250652742003,-3.5464933018124998,-3.5457947606854,-2.0665551117348997,-2.0664975441248,0.18950065230954996,0.12052413077322001,-0.12284017278617998,-0.13499923815328,-0.040462705193434,-0.58805723720418,0.38657308876371993,2.9031031031031,6.4147286821705,0.38989799276078,0.6121787950766601,-0.026315789473683997,-0.047606568832983996
1995-12-31,,0.03030303030303,0.037965945697193,-0.061465721040189006,1.2843106916293001,1.2844874274662,-0.581912040083,-0.581912040083,0.00014305810543383,-0.27903207132106,-0.65404739919975,0.021049850273031998,-0.10859886949127,0.050100200400802,0.42208705460723994,0.25759130077965,-0.39050248301097995,0.49037619261820004,0.37312004898397,-0.027027027027027,0.032009538659085
1996-12-31,,0.030443756449948,0.040198034434346004,-0.5625143118845899,-0.24875537643513002,-0.24875537643513002,-2.1659605374652,-2.1659605374652,-0.21349162832463,-0.20828649429902,-0.77758007117438,0.12576554817562,0.0090347923681258,2.6304071246819,0.15720697202755,-0.5970103597356999,-0.77802792742087,0.19761087812936998,0.08281541763050099,0.0,0.087806612157839
1997-12-31,,0.030474282852851003,0.054699154649428,0.48966239204397,-0.96650437291498,-0.96654945451267,-0.6224044850498299,-0.62230066445183,0.14107602930032997,-0.51379310344828,-3.576,0.16366561949276,-0.022078861019966003,0.25582617837743,0.054839031542963,-0.7726835686453101,-0.41523786524994,0.04491192699490701,0.048426742165884,0.0,0.046813725490196
1998-12-31,,0.030406108989934,0.05044790193305001,0.35980323260716995,11.553162853297,10.396226415094,-4.2878746219412,-3.0167674546454,-0.027174201774425,1.6257822277847,-6.5465838509317,-0.085928754856127,0.14740673339399,0.044370029300962996,0.072835099032704,0.38245770258236994,0.32211439190584,0.06209855543425799,0.06402513870476699,0.0,0.17708577226254998
1999-12-31,,0.030115205820926003,0.063028981790203,-0.22054263565891002,1.1000321646831999,1.1777436140019,-0.5659809332664301,0.18468038707919002,-0.0076545704429819995,-0.55783285668891,-0.81075027995521,0.09645584209767999,-0.10765265662172999,0.26239144956579996,0.08141086091496601,0.29951690821256,0.5781664844604101,0.08069798016015299,0.10104517558027001,0.027777777777778,-0.011868452459886002
2000-12-31,,0.029758011772400002,0.068279148320164,0.113376429637,0.13182212692092,0.66999728482216,1.5649325626203998,1.2253796594570001,-0.012382140367612001,0.0093424362199067,-0.29733727810651,0.019184022074764998,0.017607198400355,0.28680283627896996,0.05044328409530001,0.32106567534077,-0.023849579416131,0.10661122293247,0.09864526471297,-0.027027027027027,0.0095282828960612
2001-12-31,,0.031184503016831,0.083959121449946,-0.53967545034986,-0.59700482655961,-0.5369232270022399,-0.93171574519231,-0.82820658636199,-0.09271160311298501,0.54503381986472,3.96,-0.094823696254754,0.003329512581191,0.72037174109713,0.04914132602613999,-0.35006096989025,-0.51733576642336,0.06929703583778099,0.047616776974575,0.055555555555556,0.22964440013292997
2002-12-31,,0.03079576250308,-0.11063652463798,2.5084087968952002,-1.8110588762033,-1.9412260374974,-34.651265126512996,-11.733072524827001,0.088755821689953,0.14746543778802,0.1820882852292,-0.27624270047002003,-0.17620498313568,-0.48240749593651006,0.13188223525287,1.3430509453024,1.9157739970593999,0.16235186362107001,0.13881530436682002,-0.15789473684211,-0.22902702702702998
2003-12-31,,0.030413479923518,0.11977275389481,-0.44773230088496,3.1872757383384003,0.8518352730528199,-2.1920298146392,-2.3285762350697996,-0.052657804185547996,-0.22349397590361,-0.40646319569120004,0.51677654235954,0.27332761011689,0.28179551122195,0.0075534539006286,-1.069356328919,-1.0575565480478,-0.011257005475728998,-0.0079936051159073,0.0625,0.18109794573371998
