Date,ODA/GNB_LE_Value,ODA/GNB_LP_Value,ODA/GNB_PPPGDP_Value,ODA/GNB_BCA_NGDPD_Value,ODA/GNB_TX_RPCH_Value,ODA/GNB_TXG_RPCH_Value,ODA/GNB_TM_RPCH_Value,ODA/GNB_TMG_RPCH_Value,ODA/GNB_GGXWDG_NGDP_Value,ODA/GNB_GGXCNL_NGDP_Value,ODA/GNB_GGXONLB_NGDP_Value,ODA/GNB_GGR_NGDP_Value,ODA/GNB_GGX_NGDP_Value,ODA/GNB_NGSD_NGDP_Value,ODA/GNB_PPPEX_Value,ODA/GNB_PCPIPCH_Value,ODA/GNB_PCPIEPCH_Value,ODA/GNB_PCPI_Value,ODA/GNB_PCPIE_Value,ODA/GNB_PPPSH_Value,ODA/GNB_NID_NGDP_Value
1991-12-31,,0.020898641588297,0.086172344689379,-0.15746937744665,-0.82003048780488,-0.85567237163814,-1.0425196850394,-1.09,,,,,,-0.52694394213382,-0.065882793606332,0.74537135238326,0.87002924886427,0.5759385665529,0.60114692505438,0.0,0.11231906566441
1992-12-31,,0.020470829068576998,0.033210332103321,1.0379196642686,-12.969676435711,-12.969676435711,38.633333333333,38.633333333333,,,,,,0.5598878695209,-0.19737966143064,0.20564593135297,0.44256975989617,0.6945046020573901,0.8669877732493501,0.0,0.55822395978777
1993-12-31,,0.020060180541625,0.045535714285714,-0.55129808045892,-3.3299602304088998,-3.3299602304088998,-2.4991589571067996,-2.4991589571067996,,,,,,-0.061101127266787,0.0692804778713,-0.30552675537123,-0.64589316816037,0.48230689352184997,0.30693920751472,0.0,-0.39817204301075
1994-12-31,,0.020648967551623,0.052946199829205995,-0.4610719554171401,-0.18249629467648,-0.18249629467648,-0.8508025557113901,-0.8508025557113901,,,,,,-0.050113102488255,0.8511487598269201,-0.68532150040434,-0.37208469055375004,0.15174866627149,0.19279242800020002,0.0,-0.059198380084569
1995-12-31,,0.020231213872832002,0.06650446066504401,-0.34032846715328,-1.2355331985972,-1.2355331985972,-0.8059327344892401,-0.8059327344892401,,,,,,-0.49532881480125,-0.09120837517077901,1.9892593568793002,1.5780982518026998,0.45365648247789003,0.49698718492744,0.0,-0.2044058998544
1996-12-31,,0.019830028328612,0.064638783269962,-0.28538497003227004,-0.5928578188586401,-0.5928578188586401,7.4499461786868,7.4499461786868,,,,,,0.36333938294011,0.025297349513977004,0.11832910834344,0.32039518692905,0.50735459783064,0.65621633879472,0.0,-0.12913749204328
1997-12-31,,0.020370370370369997,0.083571428571429,1.3535483870968,-9.959863629319699,-9.959863629319699,-4.7770700636943,-4.7770700636943,,,,,,1.0095846645367,0.045542338947121,-0.032878008396901,-0.7449292147330899,0.49064742056713,0.16736838502088,0.0,0.31210598446779
1998-12-31,,0.02087114337568,-0.2636783124588,0.66584429824561,-1.3221747552665,-1.3221747552665,-1.8793929173693,-1.8793929173693,,,,,,-1.1379173290938,0.051156267952285,-0.83666564761031,-0.52933444856016,0.080131786277038,0.07878956705323499,-0.25,-0.54063087528724
1999-12-31,,0.020444444444444,0.092211280214861,-1.6597005101201001,-2.7038786740034997,-2.7038786740034997,-2.0356293625834,-2.0356293625834,,,,,,-3.6839577329491,0.04247282157342901,-1.2620414275018998,-2.002792586951,-0.020993581242374,-0.07900137263695799,0.0,0.47157798999545003
2000-12-31,,0.1088850174216,0.1,1.1526565228236,-1.0,-1.2018337061659,-0.7290671406880699,-1.7802836721846003,,,,,,4.3604151753758,0.0094056454431447,-5.1,-3.1118987341772,0.086100161200742,0.16684866013458,0.0,-0.31839719818705997
2001-12-31,,0.022780832678712,0.045454545454545005,-0.92850521436848,,-2.6970808616922004,-0.30289775833789,-2.606739439962,-0.06139193499060701,-0.17840216655382998,3.7376623376622997,-0.19346273576268,-0.19162835712557,-0.6028577151632499,0.043901544853712005,-0.62229965156794,-1.1131623111964,0.032515559324993,-0.018880809358203996,0.0,-0.031736436451564
2002-12-31,,0.022273425499232002,0.0049893086243763,-2.226904376013,-1.9630225819803997,-1.9630225819803997,-3.0519607843137,-1.2459384415431,0.026647985924278,0.36423568191183003,-1.5191885964912,-0.37280054489726,-0.28354783996807004,-0.22141896435776998,0.0025802864166699,0.015375153751538,-2.3342161016948997,0.033013625821414996,0.025186254543580002,0.0,0.35133447791478
2003-12-31,,0.022539444027047,0.025531914893617003,-0.35138705416116,-1.5938201442285,-1.5938201442285,-1.9429526994744,-1.2015373528705,-0.036112131227812004,0.81606765327696,2.7381203801478,0.14760180995475,0.30162929954045004,0.75771971496437,-0.06869055437982001,-2.0520896426408,-0.7113934100833701,-0.034741630319118,0.0072671494669081,0.0,0.15742665742666
2004-12-31,,0.022042615723733,0.05601659751037301,-5.5845213849287,-1.9043751005307998,-1.9043751005307998,-0.5095257397649,5.6942789034565,0.037455667503928,0.031099284882754,-0.066666666666667,0.42465105275609,0.29806354980208,0.17076167076167004,-0.04025576462967399,-1.2363270005756999,2.9711141678129,0.0082136021127613,0.028871358314402,-0.33333333333333,-0.27282706316735
2005-12-31,,0.022286125089863,0.07662082514734798,-1.8596179475788999,-2.3108048021343,-2.3108048021343,0.11818181818182001,0.12472180183388,0.006256772502845001,-0.20258064516129,-0.13256658595642,-0.13411934019705998,-0.15165251792632,-0.5289611752361,0.025021772262137996,2.9537149817296,-1.355386214063,0.032454580409497,-0.010263627209531,0.0,-0.11897900370523
