Date,ODA/CRI_LE_Value,ODA/CRI_LP_Value,ODA/CRI_PPPGDP_Value,ODA/CRI_BCA_NGDPD_Value,ODA/CRI_TX_RPCH_Value,ODA/CRI_TXG_RPCH_Value,ODA/CRI_TM_RPCH_Value,ODA/CRI_TMG_RPCH_Value,ODA/CRI_GGXWDG_NGDP_Value,ODA/CRI_GGXWDN_NGDP_Value,ODA/CRI_GGXCNL_NGDP_Value,ODA/CRI_GGXONLB_NGDP_Value,ODA/CRI_GGR_NGDP_Value,ODA/CRI_GGX_NGDP_Value,ODA/CRI_NGSD_NGDP_Value,ODA/CRI_PPPEX_Value,ODA/CRI_PCPIPCH_Value,ODA/CRI_PCPIEPCH_Value,ODA/CRI_PCPI_Value,ODA/CRI_PCPIE_Value,ODA/CRI_PPPSH_Value,ODA/CRI_NID_NGDP_Value,ODA/CRI_LUR_Value
1991-12-31,,,0.056713358387427006,-0.6010468530575799,0.27312998354639,3.5893294175232,-1.4209215442091998,-1.3464116543033,,,,,,,-0.24002052334531,0.58723582925122,0.50811492200221,-0.07202581780842,0.28715764863059,0.25303086649312,0.0,-0.34347316787466,0.18483412322275
1992-12-31,,,0.11639185257032002,0.52512,1.1756635848494,1.2481868600683002,-6.7947200728266,-7.2247162022704,,,,,,,0.044423440453686,0.1779592268623,-0.24117995333124,-0.32939456212457,0.21790463833928,0.16970380483171998,-0.018181818181818,0.12824086980764,-0.25454545454545
1993-12-31,,,0.09968143643208802,0.50272765421737,-0.5060543751427901,-0.65951895251198,-0.37707171471212,-0.28921954656609,,,,,,,-0.11286360698124999,0.08052997978890598,-0.55108316504498,-0.4670870410749,0.09779482262703698,0.09042931086978599,0.055555555555556,0.032023721275019,0.0
1994-12-31,,,0.06957758348256599,-0.32113934655124,-0.4159111933395,-0.16302076076355,-0.70354958703739,-0.7147938655315199,,,,,,,0.10652870883124001,0.13140466095824002,0.38370309784276,1.1957315050315,0.13537117903930002,0.19857594936708997,0.017543859649123,-0.040032562371307,0.024390243902439
1995-12-31,,,0.060914955434087,-0.34491978609626,1.4249287298068,2.1766272681871,0.41982135261590997,0.26354528726232,,,,,,,-0.008560516264981,0.19696784148522,0.71316683907197,0.13658340048348,0.23183760683760996,0.22566491943312,0.0,-0.09013817528807301,0.23809523809524
1996-12-31,,,0.027246565168957,-0.27001569858713004,-0.7371824178695101,-0.8443035321245201,-0.2242360695027,-0.39304207119741,,,,,,,-0.09451381509032901,0.13721839127499,-0.24471663935132998,-0.38457107408720004,0.17512575888985,0.13891088795261,-0.03448275862069,-0.1250548245614,0.19230769230769001
1997-12-31,,,0.07387827029958001,0.54064516129032,1.5464711729622,2.9188825311342996,1.0152539100212,3.0079978672354,,,,,,,0.063742389789482,0.12961296939381,-0.24349017816354998,-0.19346245230038003,0.13246538541021,0.11201045838896001,0.017857142857143002,0.13315370637258,-0.080645161290323
1998-12-31,,,0.09572498527307902,-0.028754885538805,2.5852444617937,2.1553723267199,1.3148414295296,0.6070240787548199,,,,,,,0.17080402703074998,0.10921384824905998,-0.11986714975845,0.10301731833601,0.11660583941606,0.12356487155757001,0.052631578947367995,0.13127626631276001,-0.017543859649123
1999-12-31,,,0.098805729426673,0.26214429433745,-0.20814959986935,-0.20814959986935,-0.98327814569536,-0.98327814569536,,,,,,,-0.24459626597562,0.13240805893419,-0.1385077186964,-0.18153123988345998,0.10045992575817998,0.10111534094703999,0.05,-0.16746505034704998,0.075357142857143
2000-12-31,,,0.041133710770951,0.023912548394442998,-1.3510020281187,-1.2614210580591998,-38.230198019801996,-0.24257425742574,,,,,,,-0.031966318415718,0.045975335256634,0.09118964659034301,0.013250271927222,0.10961897488119,0.10248478599300001,-0.031746031746032,-0.0070455612963833,-0.13766190634341
2001-12-31,,0.03753280839895,0.033802155013259,-0.18238434163701,-0.059739496621290994,0.49086127547666,-1.0837710258625999,9.2418300653595,0.055579856744491,0.055579856744491,-0.025374855824682997,1.1285140562248999,0.08336689488521999,0.05956053642259,0.3395618556701,0.061800613459743,0.026822370221695,0.06841026641944001,0.11253656578017,0.10948101962222999,0.0,0.20080416272468998,0.16926632004622003
2002-12-31,,0.017455097394384,0.044840574063251,0.38384113166484995,-1.3796479533381998,-1.5673840183453998,4.4619047619048,1.5098915124441998,0.056305198000569996,0.056305198000569996,0.45384615384615,-0.99811320754717,-0.0078810408921933,0.08491294788757499,0.054232804232804,0.075319277693094,-0.18551754775654997,-0.11527219583486,0.091666809878156,0.096859504132231,0.0,0.11389600157573,0.054512516469038
2003-12-31,,0.015912481352561,0.08524192796544298,-0.012384509534106001,2.3108367626886,1.0105704958805999,-0.87590816623075,-0.9495296211543399,-0.019345347554248,-0.019345347554248,-0.31135531135531,697.0,0.044439448441247,-0.051319969328512995,-0.10915934755332,0.06170296356859901,0.030762517726627997,0.018996489779062,0.09450120428821002,0.098704038577456,0.016393442622950997,-0.08744087352460099,0.041386849914103
2004-12-31,,0.016152716593245,0.07127312295973899,-0.15286624203822,-0.32466025853497,-0.38804700788618995,9.6100702576112,23.045340050377998,0.025977597759776,0.025977597759776,0.010047281323877,-0.024355300859598996,-0.024036736743919,-0.017377749552566,0.20832266325223997,0.08852562307476901,0.30299502592867,0.32988855116515003,0.12311940856658,0.13125771499109,-0.016129032258065,0.12047667490189999,-0.025944811037792004
